Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	31.7230769231	32.0	32.0	32.0	32.0	32.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
2	31.5846153846	32.0	32.0	32.0	32.0	32.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
3	31.8307692308	32.0	32.0	32.0	32.0	32.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
4	31.7769230769	32.0	32.0	32.0	32.0	32.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
5	31.8615384615	32.0	32.0	32.0	32.0	32.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
6	34.3384615385	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
7	35.4	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
8	35.5384615385	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
9	35.2	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
10	35.2576923077	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
12	35.2115384615	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
14	35.4615384615	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
16	34.9769230769	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
18	35.3692307692	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
20	35.0153846154	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
22	34.7730769231	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
24	33.6230769231	36.0	36.0	36.0	23.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
26	34.5961538462	36.0	36.0	36.0	31.5	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
28	34.1192307692	36.0	36.0	36.0	25.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
30	35.0884615385	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
32	34.5307692308	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
34	34.8346153846	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
36	34.8730769231	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
