Quality	Count	sample
20	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
21	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
22	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
23	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
24	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
25	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
26	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
27	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
28	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
29	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
30	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
31	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
32	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
33	13.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
34	16.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
35	77.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
