Length	Count	sample
58	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
59	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
60	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
61	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
62	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
63	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
64	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
65	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
66	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
67	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
68	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
69	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
70	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
71	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
72	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
73	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
74	16.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
75	25.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
76	87.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
