Base	N-Count	sample
1	0.078313253012	brain100-1-1
2	0.0	brain100-1-1
3	0.0	brain100-1-1
4	0.0	brain100-1-1
5	0.0	brain100-1-1
6	0.0	brain100-1-1
7	0.0	brain100-1-1
8	0.0	brain100-1-1
9	0.0	brain100-1-1
10	0.0	brain100-1-1
12	0.0	brain100-1-1
14	0.0	brain100-1-1
16	0.0	brain100-1-1
18	0.0	brain100-1-1
20	0.00602409638554	brain100-1-1
22	0.00602409638554	brain100-1-1
24	0.0120481927711	brain100-1-1
26	0.00602409638554	brain100-1-1
28	0.00602409638554	brain100-1-1
30	0.0	brain100-1-1
32	0.0	brain100-1-1
34	0.0602409638554	brain100-1-1
36	0.0	brain100-1-1
38	0.0	brain100-1-1
40	0.0	brain100-1-1
42	0.0	brain100-1-1
44	0.0	brain100-1-1
46	0.0	brain100-1-1
48	0.0	brain100-1-1
50	0.0	brain100-1-1
52	0.0	brain100-1-1
54	0.0	brain100-1-1
56	0.0	brain100-1-1
58	0.0	brain100-1-1
60	0.0	brain100-1-1
62	0.0	brain100-1-1
64	0.0	brain100-1-1
66	0.0	brain100-1-1
68	0.0	brain100-1-1
70	0.0	brain100-1-1
72	0.0	brain100-1-1
74	0.0	brain100-1-1
76	0.0	brain100-1-1
78	0.0	brain100-1-1
80	0.0	brain100-1-1
82	0.0	brain100-1-1
84	0.0	brain100-1-1
86	0.0	brain100-1-1
88	0.0	brain100-1-1
90	0.0	brain100-1-1
92	0.0	brain100-1-1
94	0.0	brain100-1-1
96	0.0	brain100-1-1
98	0.0	brain100-1-1
100	0.0	brain100-1-1
1	0.0334439556482	jurkat100-1-5
2	0.000643152993234	jurkat100-1-5
3	0.0	jurkat100-1-5
4	0.0	jurkat100-1-5
5	0.0	jurkat100-1-5
6	0.0	jurkat100-1-5
7	0.0	jurkat100-1-5
8	0.0	jurkat100-1-5
9	0.0	jurkat100-1-5
10	0.0	jurkat100-1-5
12	0.0	jurkat100-1-5
14	0.0	jurkat100-1-5
16	0.00128630598647	jurkat100-1-5
18	0.00128630598647	jurkat100-1-5
20	0.00514522394587	jurkat100-1-5
22	0.00450207095264	jurkat100-1-5
24	0.00675310642896	jurkat100-1-5
26	0.00225103547632	jurkat100-1-5
28	0.00160788248309	jurkat100-1-5
30	0.000964729489851	jurkat100-1-5
32	0.0	jurkat100-1-5
34	0.00128630598647	jurkat100-1-5
36	0.0	jurkat100-1-5
38	0.0	jurkat100-1-5
40	0.0	jurkat100-1-5
42	0.0	jurkat100-1-5
44	0.0	jurkat100-1-5
46	0.0	jurkat100-1-5
48	0.0	jurkat100-1-5
50	0.0	jurkat100-1-5
52	0.0	jurkat100-1-5
54	0.0	jurkat100-1-5
56	0.0	jurkat100-1-5
58	0.0	jurkat100-1-5
60	0.0	jurkat100-1-5
62	0.0	jurkat100-1-5
64	0.0	jurkat100-1-5
66	0.0	jurkat100-1-5
68	0.0	jurkat100-1-5
70	0.0	jurkat100-1-5
72	0.0	jurkat100-1-5
74	0.0	jurkat100-1-5
76	0.0	jurkat100-1-5
78	0.0	jurkat100-1-5
80	0.0	jurkat100-1-5
82	0.000651554935854	jurkat100-1-5
84	0.0013057046235	jurkat100-1-5
86	0.000981216250249	jurkat100-1-5
88	0.00131158291663	jurkat100-1-5
90	0.000328803516882	jurkat100-1-5
92	0.000989243624325	jurkat100-1-5
94	0.0	jurkat100-1-5
96	0.0	jurkat100-1-5
98	0.0	jurkat100-1-5
100	0.0	jurkat100-1-5
