Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	37.62686746987952	38.0	38.0	38.0	38.0	38.0	brain100-1-1
2	37.61379518072289	38.0	38.0	38.0	38.0	38.0	brain100-1-1
3	37.6960843373494	38.0	38.0	38.0	38.0	38.0	brain100-1-1
4	37.694216867469876	38.0	38.0	38.0	38.0	38.0	brain100-1-1
5	37.66265060240964	38.0	38.0	38.0	38.0	38.0	brain100-1-1
6	39.7294578313253	40.0	40.0	40.0	40.0	40.0	brain100-1-1
7	39.74487951807229	40.0	40.0	40.0	40.0	40.0	brain100-1-1
8	39.76042168674699	40.0	40.0	40.0	40.0	40.0	brain100-1-1
9	39.760963855421686	40.0	40.0	40.0	40.0	40.0	brain100-1-1
10	39.76409638554217	40.0	40.0	40.0	40.0	40.0	brain100-1-1
12	39.75740963855422	40.0	40.0	40.0	40.0	40.0	brain100-1-1
14	39.7589156626506	40.0	40.0	40.0	40.0	40.0	brain100-1-1
16	39.758283132530124	40.0	40.0	40.0	40.0	40.0	brain100-1-1
18	39.753313253012045	40.0	40.0	40.0	40.0	40.0	brain100-1-1
20	39.7725	40.0	40.0	40.0	40.0	40.0	brain100-1-1
22	39.73683734939759	40.0	40.0	40.0	40.0	40.0	brain100-1-1
24	39.758975903614456	40.0	40.0	40.0	40.0	40.0	brain100-1-1
26	39.74828313253012	40.0	40.0	40.0	40.0	40.0	brain100-1-1
28	39.740180722891566	40.0	40.0	40.0	40.0	40.0	brain100-1-1
30	39.73647590361446	40.0	40.0	40.0	40.0	40.0	brain100-1-1
32	39.707620481927705	40.0	40.0	40.0	40.0	40.0	brain100-1-1
34	39.7183734939759	40.0	40.0	40.0	40.0	40.0	brain100-1-1
36	39.732086851628466	40.0	40.0	40.0	40.0	40.0	brain100-1-1
38	39.74713510253318	40.0	40.0	40.0	40.0	40.0	brain100-1-1
40	39.714543981365026	40.0	40.0	40.0	40.0	40.0	brain100-1-1
42	39.69679054054054	40.0	40.0	40.0	40.0	40.0	brain100-1-1
44	39.7128161615512	40.0	40.0	40.0	40.0	40.0	brain100-1-1
46	39.70258138920195	40.0	40.0	40.0	40.0	40.0	brain100-1-1
48	39.717722932782074	40.0	40.0	40.0	40.0	40.0	brain100-1-1
50	39.69092448485233	40.0	40.0	40.0	40.0	40.0	brain100-1-1
52	39.70784232449002	40.0	40.0	40.0	40.0	40.0	brain100-1-1
54	39.70125669877129	40.0	40.0	40.0	40.0	40.0	brain100-1-1
56	39.67727794437843	40.0	40.0	40.0	40.0	40.0	brain100-1-1
58	39.68233067380482	40.0	40.0	40.0	40.0	40.0	brain100-1-1
60	39.68284111648681	40.0	40.0	40.0	40.0	40.0	brain100-1-1
62	39.66062991221472	40.0	40.0	40.0	40.0	40.0	brain100-1-1
64	39.66442406402055	40.0	40.0	40.0	39.0	40.0	brain100-1-1
66	39.6762713633428	40.0	40.0	40.0	39.0	40.0	brain100-1-1
68	39.67786020795316	40.0	40.0	40.0	40.0	40.0	brain100-1-1
70	39.6745130301446	40.0	40.0	40.0	40.0	40.0	brain100-1-1
72	39.67837613112481	40.0	40.0	40.0	40.0	40.0	brain100-1-1
74	39.65805763270191	40.0	40.0	40.0	39.0	40.0	brain100-1-1
76	39.648774074837924	40.0	40.0	40.0	38.0	40.0	brain100-1-1
78	39.660631145067164	40.0	40.0	40.0	39.0	40.0	brain100-1-1
80	39.65767176482751	40.0	40.0	40.0	39.0	40.0	brain100-1-1
82	39.642311930457154	40.0	40.0	40.0	38.0	40.0	brain100-1-1
84	39.636106280511186	40.0	40.0	40.0	38.0	40.0	brain100-1-1
86	39.62001915533624	40.0	40.0	40.0	38.0	40.0	brain100-1-1
88	39.63002756244012	40.0	40.0	40.0	38.0	40.0	brain100-1-1
90	39.602484566895434	40.0	40.0	40.0	38.0	40.0	brain100-1-1
92	39.593605370489364	40.0	40.0	40.0	38.0	40.0	brain100-1-1
94	39.61263963574044	40.0	40.0	40.0	38.0	40.0	brain100-1-1
96	39.59848900186219	40.0	40.0	40.0	38.0	40.0	brain100-1-1
98	39.6049165914375	40.0	40.0	40.0	38.0	40.0	brain100-1-1
100	39.60201688555347	40.0	40.0	40.0	38.0	40.0	brain100-1-1
