Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	37.702914769365336	38.0	38.0	38.0	38.0	38.0	jurkat100-1-5
2	37.6381556944766	38.0	38.0	38.0	38.0	38.0	jurkat100-1-5
3	37.69845128759229	38.0	38.0	38.0	38.0	38.0	jurkat100-1-5
4	37.69282369890149	38.0	38.0	38.0	38.0	38.0	jurkat100-1-5
5	37.68064881273958	38.0	38.0	38.0	38.0	38.0	jurkat100-1-5
6	39.71908363561524	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
7	39.733766818450775	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
8	39.74896452368089	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
9	39.73837179388233	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
10	39.74463288827146	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
12	39.73992179259602	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
14	39.73204959995884	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
16	39.73492770960356	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
18	39.74159399037843	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
20	39.729663502353944	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
22	39.726283733374494	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
24	39.728187466234466	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
26	39.71351071492887	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
28	39.707108126881224	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
30	39.70576715289033	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
32	39.70906009621569	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
34	39.711073165084514	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
36	39.71163815281709	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
38	39.7110375888642	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
40	39.69557510077023	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
42	39.703740866522594	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
44	39.6992198207477	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
46	39.69427698424296	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
48	39.69185270229449	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
50	39.677574284040254	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
52	39.687863663830264	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
54	39.68773633684509	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
56	39.676546767947244	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
58	39.677584149346444	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
60	39.66352532420795	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
62	39.66415630957956	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
64	39.65198049828896	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
66	39.65272398857994	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
68	39.64971067585898	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
70	39.652699235058996	40.0	40.0	40.0	39.0	40.0	jurkat100-1-5
72	39.64885968528874	40.0	40.0	40.0	39.0	40.0	jurkat100-1-5
74	39.64684764123405	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
76	39.639431006833995	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
78	39.64394249611897	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
80	39.6258017708773	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
82	39.641699375580046	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
84	39.6255310178358	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
86	39.60901630260652	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
88	39.60984766202143	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
90	39.59281472920949	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
92	39.59061143887905	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
94	39.59604036581638	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
96	39.58036289374189	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
98	39.572095131558385	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
100	39.57763805358119	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
