id	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16	HUGO
ENSG00000002834:001	0	0	LASP1
ENSG00000002834:002	0	0	LASP1
ENSG00000002834:003	0	0	LASP1
ENSG00000002834:004	0	0	LASP1
ENSG00000002834:005	0	0	LASP1
ENSG00000002834:006	0	0	LASP1
ENSG00000002834:007	0	0	LASP1
ENSG00000002834:008	0	0	LASP1
ENSG00000002834:009	0	0	LASP1
ENSG00000002834:010	0	0	LASP1
ENSG00000002834:011	0	0	LASP1
ENSG00000002834:012	0	0	LASP1
ENSG00000002834:013	0	0	LASP1
ENSG00000002834:014	0	0	LASP1
ENSG00000002834:015	0	0	LASP1
ENSG00000002834:016	0	0	LASP1
ENSG00000002834:017	0	0	LASP1
ENSG00000002834:018	0	0	LASP1
ENSG00000002834:019	0	0	LASP1
ENSG00000002834:020	0	0	LASP1
ENSG00000002834:021	0	0	LASP1
ENSG00000002834:022	0	1	LASP1
ENSG00000002834:023	0	0	LASP1
ENSG00000002834:024	0	0	LASP1
ENSG00000005073:001	0	0	HOXA11
ENSG00000005073:002	0	0	HOXA11
ENSG00000005073:003	0	0	HOXA11
ENSG00000005073:004	0	0	HOXA11
ENSG00000005073:005	0	0	HOXA11
ENSG00000005073:006	0	0	HOXA11
ENSG00000005339:001	0	0	CREBBP
ENSG00000005339:002	0	0	CREBBP
ENSG00000005339:003	0	0	CREBBP
ENSG00000005339:004	0	0	CREBBP
ENSG00000005339:005	0	0	CREBBP
ENSG00000005339:006	0	0	CREBBP
ENSG00000005339:007	0	0	CREBBP
ENSG00000005339:008	0	0	CREBBP
ENSG00000005339:009	0	0	CREBBP
ENSG00000005339:010	0	0	CREBBP
ENSG00000005339:011	0	0	CREBBP
ENSG00000005339:012	0	0	CREBBP
ENSG00000005339:013	0	0	CREBBP
ENSG00000005339:014	0	0	CREBBP
ENSG00000005339:015	0	0	CREBBP
ENSG00000005339:016	0	0	CREBBP
ENSG00000005339:017	0	0	CREBBP
ENSG00000005339:018	0	0	CREBBP
ENSG00000005339:019	0	0	CREBBP
ENSG00000005339:020	0	0	CREBBP
ENSG00000005339:021	0	0	CREBBP
