id	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16	HUGO
ENST00000006015	0.0	0.0	HOXA11
ENST00000006750	0.0	0.0	CD79B
ENST00000009530	0.0	0.0	CD74
ENST00000013807	0.0	0.0	ERCC1
ENST00000052569	0.0	0.0	GOPC
ENST00000053243	0.0	0.0	TNFRSF17
ENST00000056233	0.0	0.0	NFE2L3
ENST00000074304	0.0	0.0	INPP4A
ENST00000078429	0.0	0.0	GNA11
ENST00000160740	0.0	0.0	CIC
ENST00000163416	0.0	0.0	GOLGA5
ENST00000164227	0.0	0.0	BCL3
ENST00000166139	0.0	0.0	FSTL3
ENST00000168712	0.0	0.0	FGF4
ENST00000171111	0.0	0.0	KEAP1
ENST00000173785	0.0	0.0	KLF6
ENST00000189444	0.0	0.0	NFKB2
ENST00000206249	0.0	0.0	ESR1
ENST00000215739	0.0	0.0	LZTR1
ENST00000215832	0.0	0.0	MAPK1
ENST00000216181	977.981	0.0	MYH9
ENST00000216281	0.0	0.0	HSP90AA1
ENST00000217086	0.0	0.0	SALL4
ENST00000217185	0.0	0.0	PTK6
ENST00000217244	0.0	0.0	CSNK2A1
ENST00000218089	0.0	0.0	STAG2
ENST00000218147	0.0	0.0	BCORL1
ENST00000219476	0.0	0.0	TSC2
ENST00000219905	0.0	0.0	MGA
ENST00000220849	0.0	0.0	EIF3E
ENST00000220959	0.0	0.0	UBR5
ENST00000221232	0.0	0.0	CNOT3
ENST00000221972	0.0	0.0	CD79A
ENST00000222254	0.0	0.0	PIK3R2
ENST00000222390	0.0	0.0	HGF
ENST00000222753	0.0	0.0	HOXA13
ENST00000225577	0.0	0.0	RPS6KB1
ENST00000225792	0.0	0.0	DDX5
ENST00000225964	0.0	0.0	COL1A1
ENST00000226067	0.0	0.0	HLF
ENST00000226382	0.0	0.0	PHOX2B
ENST00000226730	0.0	0.0	IL2
ENST00000227507	0.0	0.0	CCND1
ENST00000228425	0.0	0.0	PPFIBP1
ENST00000228837	0.0	0.0	FGF6
ENST00000228872	0.0	0.0	CDKN1B
ENST00000229328	0.0	0.0	PRKAB1
ENST00000229769	0.0	0.0	FANCE
ENST00000230323	0.0	0.0	TFEB
ENST00000231790	0.0	0.0	MLH1
ENST00000232014	0.0	0.0	BCL6
ENST00000233146	0.0	0.0	MSH2
ENST00000233336	0.0	0.0	TTL
ENST00000234420	0.0	0.0	MSH6
ENST00000234739	0.0	0.0	BCL9
ENST00000234875	0.0	0.0	RPL22
ENST00000236937	0.0	0.0	FCGR2B
ENST00000236959	0.0	0.0	ATIC
