Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	31.723076923076924	32.0	32.0	32.0	32.0	32.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
2	31.584615384615386	32.0	32.0	32.0	32.0	32.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
3	31.83076923076923	32.0	32.0	32.0	32.0	32.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
4	31.776923076923076	32.0	32.0	32.0	32.0	32.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
5	31.861538461538462	32.0	32.0	32.0	32.0	32.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
6	34.33846153846154	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
7	35.4	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
8	35.53846153846154	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
9	35.2	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
10	35.25769230769231	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
12	35.21153846153846	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
14	35.46153846153846	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
16	34.97692307692307	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
18	35.36923076923077	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
20	35.01538461538462	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
22	34.77307692307692	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
24	33.62307692307692	36.0	36.0	36.0	23.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
26	34.59615384615385	36.0	36.0	36.0	31.5	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
28	34.11923076923077	36.0	36.0	36.0	25.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
30	35.08846153846154	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
32	34.53076923076923	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
34	34.83461538461539	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
36	34.87307692307692	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
38	34.73461538461538	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
40	35.04230769230769	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
42	35.019230769230774	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
44	35.107692307692304	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
46	34.89615384615385	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
48	34.58461538461539	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
50	34.776923076923076	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
52	35.10384615384615	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
54	34.30769230769231	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
56	34.65769230769231	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
58	34.75235539654145	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
60	34.5	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
62	34.29069767441861	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
64	34.53488372093023	36.0	36.0	36.0	28.5	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
66	33.86821705426357	36.0	36.0	36.0	21.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
68	33.116279069767444	36.0	36.0	36.0	14.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
70	34.15891472868217	36.0	36.0	36.0	25.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
72	33.05813953488372	36.0	34.0	36.0	21.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
74	33.04017857142857	36.0	36.0	36.0	14.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
76	35.2183908045977	NaN	NaN	NaN	NaN	NaN	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
