GC_Content	Count	sample
0	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
1	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
2	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
3	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
4	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
5	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
6	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
7	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
8	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
9	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
10	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
11	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
12	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
13	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
14	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
15	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
16	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
17	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
18	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
19	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
20	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
21	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
22	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
23	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
24	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
25	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
26	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
27	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
28	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
29	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
30	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
31	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
32	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
33	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
34	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
35	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
36	3.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
37	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
38	2.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
39	3.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
40	2.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
41	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
42	7.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
43	6.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
44	4.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
45	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
46	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
47	7.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
48	7.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
49	3.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
50	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
51	4.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
52	9.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
53	9.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
54	3.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
55	3.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
56	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
57	5.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
58	5.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
59	6.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
60	6.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
61	8.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
62	12.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
63	8.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
64	4.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
65	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
66	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
67	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
68	2.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
69	1.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
70	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
71	1.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
72	0.5	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
73	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
74	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
75	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
76	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
77	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
78	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
79	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
80	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
81	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
82	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
83	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
84	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
85	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
86	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
87	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
88	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
89	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
90	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
91	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
92	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
93	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
94	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
95	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
96	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
97	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
98	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
99	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
100	0.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16
