Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	37.6268674699	38.0	38.0	38.0	38.0	38.0	brain100-1-1
2	37.6137951807	38.0	38.0	38.0	38.0	38.0	brain100-1-1
3	37.6960843373	38.0	38.0	38.0	38.0	38.0	brain100-1-1
4	37.6942168675	38.0	38.0	38.0	38.0	38.0	brain100-1-1
5	37.6626506024	38.0	38.0	38.0	38.0	38.0	brain100-1-1
6	39.7294578313	40.0	40.0	40.0	40.0	40.0	brain100-1-1
7	39.7448795181	40.0	40.0	40.0	40.0	40.0	brain100-1-1
8	39.7604216867	40.0	40.0	40.0	40.0	40.0	brain100-1-1
9	39.7609638554	40.0	40.0	40.0	40.0	40.0	brain100-1-1
10	39.7640963855	40.0	40.0	40.0	40.0	40.0	brain100-1-1
12	39.7574096386	40.0	40.0	40.0	40.0	40.0	brain100-1-1
14	39.7589156627	40.0	40.0	40.0	40.0	40.0	brain100-1-1
16	39.7582831325	40.0	40.0	40.0	40.0	40.0	brain100-1-1
18	39.753313253	40.0	40.0	40.0	40.0	40.0	brain100-1-1
20	39.7725	40.0	40.0	40.0	40.0	40.0	brain100-1-1
22	39.7368373494	40.0	40.0	40.0	40.0	40.0	brain100-1-1
24	39.7589759036	40.0	40.0	40.0	40.0	40.0	brain100-1-1
26	39.7482831325	40.0	40.0	40.0	40.0	40.0	brain100-1-1
28	39.7401807229	40.0	40.0	40.0	40.0	40.0	brain100-1-1
30	39.7364759036	40.0	40.0	40.0	40.0	40.0	brain100-1-1
32	39.7076204819	40.0	40.0	40.0	40.0	40.0	brain100-1-1
34	39.718373494	40.0	40.0	40.0	40.0	40.0	brain100-1-1
36	39.7320868516	40.0	40.0	40.0	40.0	40.0	brain100-1-1
38	39.7471351025	40.0	40.0	40.0	40.0	40.0	brain100-1-1
40	39.7145439814	40.0	40.0	40.0	40.0	40.0	brain100-1-1
42	39.6967905405	40.0	40.0	40.0	40.0	40.0	brain100-1-1
44	39.7128161616	40.0	40.0	40.0	40.0	40.0	brain100-1-1
46	39.7025813892	40.0	40.0	40.0	40.0	40.0	brain100-1-1
48	39.7177229328	40.0	40.0	40.0	40.0	40.0	brain100-1-1
50	39.6909244849	40.0	40.0	40.0	40.0	40.0	brain100-1-1
52	39.7078423245	40.0	40.0	40.0	40.0	40.0	brain100-1-1
54	39.7012566988	40.0	40.0	40.0	40.0	40.0	brain100-1-1
56	39.6772779444	40.0	40.0	40.0	40.0	40.0	brain100-1-1
58	39.6823306738	40.0	40.0	40.0	40.0	40.0	brain100-1-1
60	39.6828411165	40.0	40.0	40.0	40.0	40.0	brain100-1-1
62	39.6606299122	40.0	40.0	40.0	40.0	40.0	brain100-1-1
64	39.664424064	40.0	40.0	40.0	39.0	40.0	brain100-1-1
66	39.6762713633	40.0	40.0	40.0	39.0	40.0	brain100-1-1
68	39.677860208	40.0	40.0	40.0	40.0	40.0	brain100-1-1
70	39.6745130301	40.0	40.0	40.0	40.0	40.0	brain100-1-1
72	39.6783761311	40.0	40.0	40.0	40.0	40.0	brain100-1-1
74	39.6580576327	40.0	40.0	40.0	39.0	40.0	brain100-1-1
76	39.6487740748	40.0	40.0	40.0	38.0	40.0	brain100-1-1
78	39.6606311451	40.0	40.0	40.0	39.0	40.0	brain100-1-1
80	39.6576717648	40.0	40.0	40.0	39.0	40.0	brain100-1-1
82	39.6423119305	40.0	40.0	40.0	38.0	40.0	brain100-1-1
84	39.6361062805	40.0	40.0	40.0	38.0	40.0	brain100-1-1
86	39.6200191553	40.0	40.0	40.0	38.0	40.0	brain100-1-1
88	39.6300275624	40.0	40.0	40.0	38.0	40.0	brain100-1-1
90	39.6024845669	40.0	40.0	40.0	38.0	40.0	brain100-1-1
92	39.5936053705	40.0	40.0	40.0	38.0	40.0	brain100-1-1
94	39.6126396357	40.0	40.0	40.0	38.0	40.0	brain100-1-1
96	39.5984890019	40.0	40.0	40.0	38.0	40.0	brain100-1-1
98	39.6049165914	40.0	40.0	40.0	38.0	40.0	brain100-1-1
100	39.6020168856	40.0	40.0	40.0	38.0	40.0	brain100-1-1
1	37.7029147694	38.0	38.0	38.0	38.0	38.0	jurkat100-1-5
2	37.6381556945	38.0	38.0	38.0	38.0	38.0	jurkat100-1-5
3	37.6984512876	38.0	38.0	38.0	38.0	38.0	jurkat100-1-5
4	37.6928236989	38.0	38.0	38.0	38.0	38.0	jurkat100-1-5
5	37.6806488127	38.0	38.0	38.0	38.0	38.0	jurkat100-1-5
6	39.7190836356	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
7	39.7337668185	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
8	39.7489645237	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
9	39.7383717939	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
10	39.7446328883	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
12	39.7399217926	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
14	39.7320496	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
16	39.7349277096	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
18	39.7415939904	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
20	39.7296635024	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
22	39.7262837334	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
24	39.7281874662	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
26	39.7135107149	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
28	39.7071081269	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
30	39.7057671529	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
32	39.7090600962	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
34	39.7110731651	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
36	39.7116381528	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
38	39.7110375889	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
40	39.6955751008	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
42	39.7037408665	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
44	39.6992198207	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
46	39.6942769842	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
48	39.6918527023	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
50	39.677574284	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
52	39.6878636638	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
54	39.6877363368	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
56	39.6765467679	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
58	39.6775841493	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
60	39.6635253242	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
62	39.6641563096	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
64	39.6519804983	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
66	39.6527239886	40.0	40.0	40.0	40.0	40.0	jurkat100-1-5
68	39.6497106759	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
70	39.6526992351	40.0	40.0	40.0	39.0	40.0	jurkat100-1-5
72	39.6488596853	40.0	40.0	40.0	39.0	40.0	jurkat100-1-5
74	39.6468476412	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
76	39.6394310068	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
78	39.6439424961	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
80	39.6258017709	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
82	39.6416993756	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
84	39.6255310178	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
86	39.6090163026	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
88	39.609847662	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
90	39.5928147292	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
92	39.5906114389	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
94	39.5960403658	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
96	39.5803628937	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
98	39.5720951316	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
100	39.5776380536	40.0	40.0	40.0	38.0	40.0	jurkat100-1-5
