Tile	Base	Mean	sample
1101	1	0.193784311734	brain100-1-1
1101	2	0.260570312446	brain100-1-1
1101	3	0.254992337556	brain100-1-1
1101	4	0.217809746136	brain100-1-1
1101	5	0.276794223331	brain100-1-1
1101	6	0.179605135015	brain100-1-1
1101	7	0.219438849506	brain100-1-1
1101	8	0.0339831708396	brain100-1-1
1101	9	0.180613144229	brain100-1-1
1101	10-11	-0.0207416583219	brain100-1-1
1101	12-13	-0.293883190413	brain100-1-1
1101	14-15	-0.290276372964	brain100-1-1
1101	16-17	0.052855577506	brain100-1-1
1101	18-19	0.182807575863	brain100-1-1
1101	20-21	-0.0854119384511	brain100-1-1
1101	22-23	0.163775161191	brain100-1-1
1101	24-25	-0.302511159535	brain100-1-1
1101	26-27	0.1697643806	brain100-1-1
1101	28-29	0.0757034449641	brain100-1-1
1101	30-31	-0.197168512166	brain100-1-1
1101	32-33	-0.199649777416	brain100-1-1
1101	34-35	0.07929503759	brain100-1-1
1101	36-37	0.119390435029	brain100-1-1
1101	38-39	-0.146585246734	brain100-1-1
1101	40-41	-0.0690494632484	brain100-1-1
1101	42-43	-0.0650101361095	brain100-1-1
1101	44-45	0.140162075442	brain100-1-1
1101	46-47	-0.188563582464	brain100-1-1
1101	48-49	0.0096600967943	brain100-1-1
1101	50-51	0.00348612437712	brain100-1-1
1101	52-53	-0.267760128672	brain100-1-1
1101	54-55	0.0728181696413	brain100-1-1
1101	56-57	0.168655233189	brain100-1-1
1101	58-59	0.152585289125	brain100-1-1
1101	60-61	0.0917991782228	brain100-1-1
1101	62-63	0.24945212914	brain100-1-1
1101	64-65	0.181244824365	brain100-1-1
1101	66-67	0.0956176325677	brain100-1-1
1101	68-69	0.165451364169	brain100-1-1
1101	70-71	0.167869716943	brain100-1-1
1101	72-73	0.064998369046	brain100-1-1
1101	74-75	0.229891701117	brain100-1-1
1101	76-77	0.14768991293	brain100-1-1
1101	78-79	0.108885485742	brain100-1-1
1101	80-81	0.0890022993559	brain100-1-1
1101	82-83	-0.032732050545	brain100-1-1
1101	84-85	0.166459179218	brain100-1-1
1101	86-87	-0.209694399519	brain100-1-1
1101	88-89	0.123923364105	brain100-1-1
1101	90-91	0.0142025492995	brain100-1-1
1101	92-93	0.179914802915	brain100-1-1
1101	94-95	0.124524671455	brain100-1-1
1101	96-97	0.122622193065	brain100-1-1
1101	98-99	0.105220901825	brain100-1-1
1101	100	0.045505552858	brain100-1-1
1102	1	0.193784311734	brain100-1-1
1102	2	0.260570312446	brain100-1-1
1102	3	0.0970976007143	brain100-1-1
1102	4	0.217809746136	brain100-1-1
1102	5	0.276794223331	brain100-1-1
1102	6	0.126973556067	brain100-1-1
1102	7	0.166807270559	brain100-1-1
1102	8	0.114684925226	brain100-1-1
1102	9	0.127981565282	brain100-1-1
1102	10-11	0.021363604836	brain100-1-1
1102	12-13	0.120151897307	brain100-1-1
1102	14-15	0.123758714756	brain100-1-1
1102	16-17	0.159873121366	brain100-1-1
1102	18-19	0.130175996916	brain100-1-1
1102	20-21	0.181254728216	brain100-1-1
1102	22-23	0.111143582244	brain100-1-1
1102	24-25	0.137839717658	brain100-1-1
1102	26-27	0.0908170121793	brain100-1-1
1102	28-29	0.182720988824	brain100-1-1
1102	30-31	0.17651569836	brain100-1-1
1102	32-33	0.121402854163	brain100-1-1
1102	34-35	0.107365213029	brain100-1-1
1102	36-37	0.133425522748	brain100-1-1
1102	38-39	0.107800718179	brain100-1-1
1102	40-41	0.0660382560498	brain100-1-1
1102	42-43	0.14902495161	brain100-1-1
1102	44-45	0.154197163161	brain100-1-1
1102	46-47	0.211436417536	brain100-1-1
1102	48-49	0.130712728373	brain100-1-1
1102	50-51	0.0719071770087	brain100-1-1
1102	52-53	0.146274959047	brain100-1-1
1102	54-55	0.158281828789	brain100-1-1
1102	56-57	0.130058741961	brain100-1-1
1102	58-59	0.166620376844	brain100-1-1
1102	60-61	0.0935535641877	brain100-1-1
1102	62-63	0.196820550193	brain100-1-1
