Length	Count	sample
34	20.0	brain100-1-1
36	0.0	brain100-1-1
38	2.0	brain100-1-1
40	2.0	brain100-1-1
42	2.0	brain100-1-1
44	4.0	brain100-1-1
46	12.0	brain100-1-1
48	12.0	brain100-1-1
50	16.0	brain100-1-1
52	25.0	brain100-1-1
54	27.0	brain100-1-1
56	10.0	brain100-1-1
58	30.0	brain100-1-1
60	28.0	brain100-1-1
62	34.0	brain100-1-1
64	47.0	brain100-1-1
66	54.0	brain100-1-1
68	90.0	brain100-1-1
70	106.0	brain100-1-1
72	109.0	brain100-1-1
74	108.0	brain100-1-1
76	134.0	brain100-1-1
78	153.0	brain100-1-1
80	154.0	brain100-1-1
82	179.0	brain100-1-1
84	212.0	brain100-1-1
86	428.0	brain100-1-1
88	451.0	brain100-1-1
90	244.0	brain100-1-1
92	276.0	brain100-1-1
94	316.0	brain100-1-1
96	706.0	brain100-1-1
98	4081.0	brain100-1-1
100	8528.0	brain100-1-1
34	4.0	jurkat100-1-5
36	0.0	jurkat100-1-5
38	6.0	jurkat100-1-5
40	2.0	jurkat100-1-5
42	0.0	jurkat100-1-5
44	10.0	jurkat100-1-5
46	10.0	jurkat100-1-5
48	20.0	jurkat100-1-5
50	24.0	jurkat100-1-5
52	26.0	jurkat100-1-5
54	52.0	jurkat100-1-5
56	69.0	jurkat100-1-5
58	46.0	jurkat100-1-5
60	79.0	jurkat100-1-5
62	93.0	jurkat100-1-5
64	131.0	jurkat100-1-5
66	82.0	jurkat100-1-5
68	118.0	jurkat100-1-5
70	122.0	jurkat100-1-5
72	192.0	jurkat100-1-5
74	212.0	jurkat100-1-5
76	161.0	jurkat100-1-5
78	218.0	jurkat100-1-5
80	248.0	jurkat100-1-5
82	304.0	jurkat100-1-5
84	305.0	jurkat100-1-5
86	367.0	jurkat100-1-5
88	401.0	jurkat100-1-5
90	464.0	jurkat100-1-5
92	394.0	jurkat100-1-5
94	662.0	jurkat100-1-5
96	4781.0	jurkat100-1-5
98	47115.0	jurkat100-1-5
100	98766.0	jurkat100-1-5
