GC_Content	Count	sample
0	0.0	brain100-1-1
1	0.0	brain100-1-1
2	0.0	brain100-1-1
3	0.0	brain100-1-1
4	0.0	brain100-1-1
5	0.0	brain100-1-1
6	0.0	brain100-1-1
7	0.0	brain100-1-1
8	0.0	brain100-1-1
9	0.0	brain100-1-1
10	0.0	brain100-1-1
11	0.0	brain100-1-1
12	0.0	brain100-1-1
13	0.0	brain100-1-1
14	0.0	brain100-1-1
15	0.0	brain100-1-1
16	0.0	brain100-1-1
17	0.0	brain100-1-1
18	0.0	brain100-1-1
19	0.0	brain100-1-1
20	0.0	brain100-1-1
21	1.0	brain100-1-1
22	3.0	brain100-1-1
23	2.5	brain100-1-1
24	5.5	brain100-1-1
25	7.5	brain100-1-1
26	13.0	brain100-1-1
27	24.5	brain100-1-1
28	35.5	brain100-1-1
29	53.0	brain100-1-1
30	68.0	brain100-1-1
31	93.0	brain100-1-1
32	123.0	brain100-1-1
33	150.0	brain100-1-1
34	176.5	brain100-1-1
35	217.5	brain100-1-1
36	294.0	brain100-1-1
37	356.5	brain100-1-1
38	403.0	brain100-1-1
39	475.5	brain100-1-1
40	542.5	brain100-1-1
41	590.0	brain100-1-1
42	599.5	brain100-1-1
43	594.5	brain100-1-1
44	651.5	brain100-1-1
45	672.0	brain100-1-1
46	660.0	brain100-1-1
47	640.5	brain100-1-1
48	611.0	brain100-1-1
49	569.5	brain100-1-1
50	507.5	brain100-1-1
51	499.0	brain100-1-1
52	537.0	brain100-1-1
53	547.5	brain100-1-1
54	526.0	brain100-1-1
55	504.0	brain100-1-1
56	565.5	brain100-1-1
57	550.5	brain100-1-1
58	448.5	brain100-1-1
59	440.0	brain100-1-1
60	644.5	brain100-1-1
61	600.5	brain100-1-1
62	323.0	brain100-1-1
63	286.0	brain100-1-1
64	255.5	brain100-1-1
65	246.0	brain100-1-1
66	231.5	brain100-1-1
67	187.5	brain100-1-1
68	171.5	brain100-1-1
69	154.5	brain100-1-1
70	110.5	brain100-1-1
71	94.5	brain100-1-1
72	83.5	brain100-1-1
73	58.0	brain100-1-1
74	38.0	brain100-1-1
75	23.0	brain100-1-1
76	16.0	brain100-1-1
77	9.5	brain100-1-1
78	6.5	brain100-1-1
79	5.5	brain100-1-1
80	4.5	brain100-1-1
81	2.0	brain100-1-1
82	1.0	brain100-1-1
83	2.0	brain100-1-1
84	2.0	brain100-1-1
85	1.0	brain100-1-1
86	0.0	brain100-1-1
87	0.0	brain100-1-1
88	0.0	brain100-1-1
89	0.0	brain100-1-1
90	0.0	brain100-1-1
91	0.0	brain100-1-1
92	0.0	brain100-1-1
93	10.0	brain100-1-1
94	20.0	brain100-1-1
95	20.0	brain100-1-1
96	10.0	brain100-1-1
97	0.0	brain100-1-1
98	0.0	brain100-1-1
99	0.0	brain100-1-1
100	0.0	brain100-1-1
