Base	N-Count	sample
1	0.033443955648169585	jurkat100-1-5
2	6.431529932340304E-4	jurkat100-1-5
3	0.0	jurkat100-1-5
4	0.0	jurkat100-1-5
5	0.0	jurkat100-1-5
6	0.0	jurkat100-1-5
7	0.0	jurkat100-1-5
8	0.0	jurkat100-1-5
9	0.0	jurkat100-1-5
10	0.0	jurkat100-1-5
12	0.0	jurkat100-1-5
14	0.0	jurkat100-1-5
16	0.0012863059864680608	jurkat100-1-5
18	0.0012863059864680608	jurkat100-1-5
20	0.005145223945872243	jurkat100-1-5
22	0.0045020709526382135	jurkat100-1-5
24	0.00675310642895732	jurkat100-1-5
26	0.0022510354763191067	jurkat100-1-5
28	0.0016078824830850764	jurkat100-1-5
30	9.647294898510458E-4	jurkat100-1-5
32	0.0	jurkat100-1-5
34	0.0012863059864680608	jurkat100-1-5
36	0.0	jurkat100-1-5
38	0.0	jurkat100-1-5
40	0.0	jurkat100-1-5
42	0.0	jurkat100-1-5
44	0.0	jurkat100-1-5
46	0.0	jurkat100-1-5
48	0.0	jurkat100-1-5
50	0.0	jurkat100-1-5
52	0.0	jurkat100-1-5
54	0.0	jurkat100-1-5
56	0.0	jurkat100-1-5
58	0.0	jurkat100-1-5
60	0.0	jurkat100-1-5
62	0.0	jurkat100-1-5
64	0.0	jurkat100-1-5
66	0.0	jurkat100-1-5
68	0.0	jurkat100-1-5
70	0.0	jurkat100-1-5
72	0.0	jurkat100-1-5
74	0.0	jurkat100-1-5
76	0.0	jurkat100-1-5
78	0.0	jurkat100-1-5
80	0.0	jurkat100-1-5
82	6.515549358544166E-4	jurkat100-1-5
84	0.0013057046235000719	jurkat100-1-5
86	9.812162502493924E-4	jurkat100-1-5
88	0.001311582916632511	jurkat100-1-5
90	3.288035168824166E-4	jurkat100-1-5
92	9.89243624324841E-4	jurkat100-1-5
94	0.0	jurkat100-1-5
96	0.0	jurkat100-1-5
98	0.0	jurkat100-1-5
100	0.0	jurkat100-1-5
