#GC Content (%)	Sample	HUMAN (hg19)
1.0	0.0	0.0
2.0	0.0	3.0E-6
3.0	0.0	3.0E-6
4.0	0.0	1.0E-5
5.0	0.0	8.0E-6
6.0	0.0	1.2000000000000002E-5
7.0	1.1213025049897961E-5	6.999999999999999E-6
8.0	0.0	9.999999999999999E-6
9.0	0.0	1.6E-5
10.0	0.0	1.5000000000000002E-5
11.0	0.0	1.9999999999999998E-5
12.0	0.0	1.6E-5
13.0	0.0	1.6E-5
14.0	1.1213025049897961E-5	2.4999999999999998E-5
15.0	1.1213025049897961E-5	2.2000000000000003E-5
16.0	1.1213025049897961E-5	2.6999999999999996E-5
17.0	2.2426050099795923E-5	3.3E-5
18.0	2.2426050099795923E-5	3.7000000000000005E-5
19.0	3.363907514969388E-5	4.7000000000000004E-5
20.0	1.5698235069857146E-4	5.4999999999999995E-5
21.0	3.3639075149693884E-4	6.400000000000001E-5
22.0	8.85828978941939E-4	9.3E-5
23.0	0.0015586104819358165	1.66E-4
24.0	0.0028593213877239803	3.03E-4
25.0	0.00511313942275347	7.059999999999999E-4
26.0	0.00539346504900092	0.0016020000000000001
27.0	0.007512726783431635	0.0033690000000000005
28.0	0.009867462043910206	0.006167999999999999
29.0	0.01215491915408939	0.010352
30.0	0.014330246013769594	0.015647
31.0	0.01588885649570541	0.022148
32.0	0.016942880850395817	0.028808
33.0	0.018860308133928375	0.035106000000000005
34.0	0.01888273418402817	0.041161
35.0	0.020598327016662556	0.047408
36.0	0.021450516920454802	0.052698999999999996
37.0	0.021091700118858067	0.057517000000000006
38.0	0.021562647170953783	0.061487999999999994
39.0	0.02157386019600368	0.063321
40.0	0.02280729295149245	0.060248
41.0	0.02207844632324909	0.055508
42.0	0.022067233298199193	0.051446000000000006
43.0	0.022145724473548477	0.048194
44.0	0.02302034042744052	0.044423
45.0	0.022796079926442555	0.040655000000000004
46.0	0.022717588751093275	0.03652
47.0	0.022369984974546432	0.032315
48.0	0.02249332825009531	0.028137999999999996
49.0	0.022885784126841738	0.02458
50.0	0.023580991679935413	0.020810000000000002
51.0	0.025206880312170617	0.017532
52.0	0.02030678836536521	0.014506999999999997
53.0	0.022717588751093268	0.012007
54.0	0.023883743356282655	0.010018
55.0	0.023838891256083065	0.008414999999999999
56.0	0.023962234531631942	0.007258
57.0	0.02439954250857796	0.006174999999999999
58.0	0.024433181583727658	0.005363000000000001
59.0	0.02489291561077347	0.0046159999999999994
60.0	0.025173241237020923	0.003946
61.0	0.026294543742010724	0.0034579999999999993
62.0	0.02522930636227041	0.002915
63.0	0.02483685048552399	0.0024610000000000005
64.0	0.024287412258078987	0.0019950000000000002
65.0	0.023210961853288782	0.0016779999999999998
66.0	0.021529008095804082	0.0013500000000000003
67.0	0.02085622659281021	0.001069
68.0	0.018445426207082144	8.119999999999999E-4
69.0	0.016079477921553675	6.4E-4
70.0	0.014363885088919287	5.05E-4
71.0	0.011370007400596533	4.0299999999999993E-4
72.0	0.008656455338521227	3.2E-4
73.0	0.006974501581036532	2.79E-4
74.0	0.0062792940279428585	2.0700000000000002E-4
75.0	0.004664618420757553	2.0099999999999998E-4
76.0	0.004103967168262654	1.54E-4
77.0	0.0036442331412168375	1.12E-4
78.0	0.0033190554147697966	7.699999999999999E-5
79.0	0.002354735260478572	6.3E-5
80.0	0.002354735260478572	3.7E-5
81.0	0.001984705433831939	2.8000000000000003E-5
82.0	0.0015025453566863266	1.6E-5
83.0	0.0010315983045906124	9.0E-6
84.0	8.521899037922451E-4	4.0E-6
85.0	4.373079769460205E-4	0.0
86.0	2.354735260478572E-4	1.0E-6
87.0	1.0091722544908165E-4	0.0
88.0	3.363907514969388E-5	0.0
89.0	2.2426050099795923E-5	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	1.1213025049897961E-5	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	1.1213025049897961E-5	0.0
