#Coverage (X)	Coverage
1.0	99.91178448491014
2.0	99.79074874779833
3.0	99.60633603023034
4.0	99.387613969859
5.0	99.15030768213585
6.0	98.88083638553456
7.0	98.57908095039262
8.0	98.26773557741849
9.0	97.90695139450204
10.0	97.51531262899509
11.0	97.06946986704534
12.0	96.6257714390208
13.0	96.13459984048538
14.0	95.57469042668076
15.0	95.01382797557604
16.0	94.41180622607355
17.0	93.78137205206204
18.0	93.09887821553296
19.0	92.36408645716128
20.0	91.61654782490083
21.0	90.8027135354527
22.0	89.94515865986277
23.0	89.00588083578988
24.0	87.99804389094156
25.0	86.92939125338106
26.0	85.8075472215091
27.0	84.6530020972777
28.0	83.44580166221618
29.0	82.20190929110107
30.0	80.91250938890653
31.0	79.5756363162011
32.0	78.18753748861567
33.0	76.75518199140717
34.0	75.28065459366957
35.0	73.71874558847969
36.0	72.14414927423232
37.0	70.50700988716633
38.0	68.84014764930372
39.0	67.12920743631179
40.0	65.38532787163541
41.0	63.60999807605596
42.0	61.782846877283944
43.0	59.90828207283231
44.0	57.97641590071258
45.0	56.01357601633983
46.0	54.0063603326815
47.0	51.974246549558245
48.0	49.92402505773322
49.0	47.827581256853684
50.0	45.70594153235294
51.0	43.566670617800476
