cutoff_reads	region_pct	bases_pct	sample
percentage10	75	100.0	syn3-tumor
percentage1000	10	0.0	syn3-tumor
percentage250	99.9	46.4208	syn3-tumor
percentage10	50	100.0	syn3-tumor
percentage1	10	100.0	syn3-tumor
percentage1000	99.9	27.0065	syn3-tumor
percentage5	25	100.0	syn3-tumor
percentage10000	0.01	0.0	syn3-tumor
percentage50000	75	0.0	syn3-tumor
percentage500	50	0.0	syn3-tumor
percentage1	25	100.0	syn3-tumor
percentage5000	25	0.0	syn3-tumor
percentage10000	75	0.0	syn3-tumor
percentage50000	99.9	0.0	syn3-tumor
percentage500	75	0.0	syn3-tumor
percentage20	0.01	0.0	syn3-tumor
percentage20	75	100.0	syn3-tumor
percentage50000	25	0.0	syn3-tumor
percentage5000	0.01	0.0	syn3-tumor
percentage10	0.01	0.32701998	syn3-tumor
percentage10000	50	0.0	syn3-tumor
percentage250	75	0.0	syn3-tumor
percentage500	90	0.0	syn3-tumor
percentage10	99.9	100.0	syn3-tumor
percentage10000	90	0.0	syn3-tumor
percentage50	99.9	100.0	syn3-tumor
percentage5	0.01	24.49614239	syn3-tumor
percentage100	50	0.0	syn3-tumor
percentage50000	90	0.0	syn3-tumor
percentage5000	99.9	0.0	syn3-tumor
percentage20	10	61.56868	syn3-tumor
percentage1	50	100.0	syn3-tumor
percentage1000	0.01	0.0	syn3-tumor
percentage250	90	0.0	syn3-tumor
percentage50	25	3.045145	syn3-tumor
percentage20	25	92.3053	syn3-tumor
percentage10	25	100.0	syn3-tumor
percentage50000	0.01	0.0	syn3-tumor
percentage50	10	0.0	syn3-tumor
percentage10000	99.9	0.0	syn3-tumor
percentage50000	50	0.0	syn3-tumor
percentage100	0.01	0.0	syn3-tumor
percentage500	10	0.0	syn3-tumor
percentage5	75	100.0	syn3-tumor
percentage250	10	0.0	syn3-tumor
percentage50	50	35.09615	syn3-tumor
percentage1	0.01	61.36840705	syn3-tumor
percentage100	99.9	100.0	syn3-tumor
percentage20	90	100.0	syn3-tumor
percentage5000	50	0.0	syn3-tumor
percentage50	90	96.22554	syn3-tumor
percentage1	99.9	100.0	syn3-tumor
percentage10	90	100.0	syn3-tumor
percentage5	99.9	100.0	syn3-tumor
percentage5000	90	0.0	syn3-tumor
percentage1000	25	0.0	syn3-tumor
percentage500	99.9	37.4187	syn3-tumor
percentage5000	75	0.0	syn3-tumor
percentage250	25	0.0	syn3-tumor
percentage500	0.01	0.0	syn3-tumor
percentage50	75	78.4958	syn3-tumor
percentage10	10	91.97659	syn3-tumor
percentage50000	10	0.0	syn3-tumor
percentage5	10	100.0	syn3-tumor
percentage1	75	100.0	syn3-tumor
percentage500	25	0.0	syn3-tumor
percentage250	50	0.0	syn3-tumor
percentage5	50	100.0	syn3-tumor
percentage1000	50	0.0	syn3-tumor
percentage1000	75	0.0	syn3-tumor
percentage100	75	0.0	syn3-tumor
percentage10000	10	0.0	syn3-tumor
percentage100	90	0.0	syn3-tumor
percentage5	90	100.0	syn3-tumor
percentage1000	90	0.0	syn3-tumor
percentage10000	25	0.0	syn3-tumor
percentage1	90	100.0	syn3-tumor
percentage5000	10	0.0	syn3-tumor
percentage100	25	0.0	syn3-tumor
percentage20	99.9	100.0	syn3-tumor
percentage100	10	0.0	syn3-tumor
percentage250	0.01	0.0	syn3-tumor
percentage50	0.01	0.0	syn3-tumor
percentage20	50	100.0	syn3-tumor
