chromosome	start	end	gene	log2	depth	probes	weight	ci_lo	ci_hi	pi_lo	pi_hi
chr1	10500	121484934	-	0	0	804	535.57	0	0	0	0
chr1	142535934	249240121	-	0	0	698	465.856	0	0	0	0
chr2	10500	92325671	-	0	0	604	403.394	0	0	0	0
chr2	95326671	243188873	-	0	0	983	655.601	0	0	0	0
chr3	60500	90504354	-	0	0	603	401.663	0	0	0	0
chr3	93505354	197961930	-	0	0	696	464.412	0	0	0	0
chr4	10500	49659617	-	0	0	329	219.423	0	0	0	0
chr4	52660617	191043776	-	0	0	922	614.908	0	0	0	0
chr5	10500	46405141	-	0	0	309	206.043	0	0	0	0
chr5	49406141	180904760	-	0	0	876	583.961	0	0	0	0
chr6	60500	58779666	-	0	0	391	260.838	0	0	0	0
chr6	61880666	171054567	-	0	0	726	483.358	0	0	0	0
chr7	10500	58053831	-	0	0	386	257.651	0	0	0	0
chr7	61054831	159128163	-	0	0	650	432.978	0	0	0	0
chr8	10500	43838387	-	0	0	291	194.405	0	0	0	0
chr8	46839387	146303522	-	0	0	662	440.869	0	0	0	0
chr9	10500	47317179	-	0	0	307	205.581	0	0	0	0
chr9	65468179	141152931	-	0	0	491	328.402	0	0	0	0
chr10	60500	39154435	-	0	0	260	173.357	0	0	0	0
chr10	42355435	135524247	-	0	0	616	410.395	0	0	0	0
chr11	60500	51593705	-	0	0	340	227.52	0	0	0	0
chr11	54694705	134946016	-	0	0	533	355.445	0	0	0	0
chr12	60500	34856194	-	0	0	232	154.248	0	0	0	0
chr12	37857194	133841395	-	0	0	639	425.842	0	0	0	0
chr13	19020500	115109378	-	0	0	637	424.969	0	0	0	0
chr14	19000500	107289040	-	0	0	589	392.529	0	0	0	0
chr15	20000500	102520892	-	0	0	544	363.174	0	0	0	0
chr16	60500	35285301	-	0	0	233	155.711	0	0	0	0
chr16	46386301	90294253	-	0	0	292	194.987	0	0	0	0
chr17	500	22262506	-	0	0	147	98.0785	0	0	0	0
chr17	25263506	81194710	-	0	0	373	247.762	0	0	0	0
chr18	10500	15410398	-	0	0	103	68.4677	0	0	0	0
chr18	18511398	78016748	-	0	0	396	263.435	0	0	0	0
chr19	60500	24631282	-	0	0	164	108.561	0	0	0	0
chr19	27732282	59118483	-	0	0	209	139.543	0	0	0	0
chr20	60500	26319069	-	0	0	175	116.745	0	0	0	0
chr20	29420069	62965020	-	0	0	222	147.789	0	0	0	0
chr21	9411693	10897675	-	13.9617	16.4811	58	5.78049	10.0957	15.5439	-1.7626	18.8976
chr21	10898175	11187629	-	5.62606	63.4311	94	2.68834	1.30753	9.95978	-1.11564	18.0248
chr21	14338629	15516160	-	8.25274	12.6298	183	7.92814	4.92279	10.4045	-3.22855	17.9163
chr21	15516660	15755704	-	-0.0329885	22.7603	108	2.70423	-0.456283	4.20798	-2.30762	14.6718
chr21	15756204	16031370	-	5.5522	14.8942	57	1.94949	-0.0413623	9.35363	-1.52637	14.3822
chr21	16031870	16332806	-	14.2734	0.0190871	2	1.33796	14.0624	14.4843	14.0645	14.4822
chr21	16333306	16341036	-	-0.090319	35.0818	28	0.597067	-0.257032	0.0552505	-0.999615	0.42884
chr21	16341536	17114840	-	12.9988	2.5071	23	3.67294	9.50188	13.764	-2.08213	15.1694
chr21	17115340	17252270	-	1.18281	22.0527	73	1.6769	-0.434933	3.26161	-1.9267	13.5991
chr21	17252770	18901942	-	12.9794	2.60342	46	7.86615	11.1483	13.6275	-2.35916	15.6544
