#Coverage (X)	Coverage
1.0	99.8596652575613
2.0	99.72314266432299
3.0	99.5679762789016
4.0	99.38338486683985
5.0	99.16174412973697
6.0	98.90597274432452
7.0	98.5906960924875
8.0	98.23705968932175
9.0	97.85864431635359
10.0	97.45026783326374
11.0	97.01288327735232
12.0	96.55143452961354
13.0	96.06860200745395
14.0	95.5546766433788
15.0	95.0165679578138
16.0	94.42318310884342
17.0	93.7799424961119
18.0	93.02198001838171
19.0	92.20987310903998
20.0	91.36024035600708
21.0	90.50846326904897
22.0	89.5881866261467
23.0	88.63514932605372
24.0	87.62790802951795
25.0	86.57926917525938
26.0	85.48178715937107
27.0	84.32444248807066
28.0	83.12492591624112
29.0	81.88877697318928
30.0	80.5955053569631
31.0	79.2239655524668
32.0	77.81245774619782
33.0	76.36205410511883
34.0	74.87781763988652
35.0	73.34396367021812
36.0	71.76734215170805
37.0	70.12525888364785
38.0	68.41807125502504
39.0	66.65822831557209
40.0	64.85835780951524
41.0	63.035018759943604
42.0	61.138176708602295
43.0	59.20702531445764
44.0	57.22810292564582
45.0	55.241615803264516
46.0	53.20563030610963
47.0	51.15826792618489
48.0	49.0776683704194
49.0	46.98265412549001
50.0	44.871378681627775
51.0	42.76230713652201
