Sample	Gene	Chr	Start	End	Length	Log2ratio	Sig	BP_Whole	Amp_Del	Ab_Seg	Total_Seg	Ab_log2ratio	Log2r_Diff	Ab_Seg_Loc	Ab_Samples	Ab_Samples_Pcnt
syn3-tumor	IFNGR2	chr21	34775508	34809491	11244	0.03					8					
syn3-tumor	KRTAP7-1	chr21	32201512	32202271	1520	0.02					1					
syn3-tumor	KRTAP6-1	chr21	31985754	31986439	1372	-0.06					1					
syn3-tumor	DONSON	chr21	34950315	34961426	13008	-0.035					8					
syn3-tumor	LINC00313	chr21	44891227	44898266	3524	0.02					3					
syn3-tumor	KRTAP12-2	chr21	46086061	46086954	1788	0.05					1					
syn3-tumor	MCM3AP	chr21	47654789	47705477	39354	-0.02					21					
syn3-tumor	LOC106780825	chr21	44560313	44561075	1526	-0.12					1					
syn3-tumor	FTCD	chr21	47556076	47575697	15138	0.03					8					
syn3-tumor	IL10RB	chr21	34638030	34668895	11216	0					8					
syn3-tumor	DNMT3L	chr21	45665463	45681345	14276	0.005					8					
syn3-tumor	MORC3	chr21	37692292	37748811	23218	-0.065					16					
syn3-tumor	KCNJ6	chr21	38997195	39213271	6488	0.01					4					
syn3-tumor	DSCR10	chr21	39579968	39580798	1662	-0.24					1					
syn3-tumor	CBR3	chr21	37507233	37519030	6184	0					4					
syn3-tumor	KRTAP10-2	chr21	45970258	45971567	2620	0.03					1					
syn3-tumor	UMODL1	chr21	43491152	43557970	35582	-0.01					22					
syn3-tumor	DSCR9	chr21	38592324	38594071	3060	0.015					2					
syn3-tumor	LCA5L	chr21	40777618	40800578	10940	0.03					6					
syn3-tumor	KRTAP19-4	chr21	31868883	31869684	1604	0.06					1					
syn3-tumor	LOC642852	chr21	46710568	46716531	6170	-0.045					4					
syn3-tumor	CLDN8	chr21	31586810	31588514	3410	-0.03					1					
syn3-tumor	DYRK1A	chr21	38792370	38887801	22518	0.015					12					
syn3-tumor	AGPAT3	chr21	45359871	45406959	16894	-0.01					12					
syn3-tumor	C2CD2	chr21	43305358	43373982	23720	-0.01					16					
syn3-tumor	SMIM11B	chr21	35751503	35758212	2546	0.02					2					
syn3-tumor	LINC00319	chr21	44869705	44870756	2104	0.08					1					
syn3-tumor	SLC5A3	chr21	35446380	35478725	24096	0					2					
syn3-tumor	PDE9A	chr21	44073652	44195702	25530	-0.005					20					
syn3-tumor	RIPK4	chr21	43160727	43187456	13188	0.03					7					
syn3-tumor	KRTAP20-1	chr21	31988481	31989197	1434	0.02					1					
syn3-tumor	CBR1	chr21	37442200	37445349	5658	-0.03					3					
syn3-tumor	SSR4P1	chr21	46491731	46492472	1484	0.00					1					
syn3-tumor	PTTG1IP	chr21	46269268	46293787	9830	-0.03					7					
syn3-tumor	BAGE4	chr21	11020524	11099021	10414	-0.00					7					
syn3-tumor	KRTAP10-11	chr21	46066137	46067786	3300	-0.01					1					
syn3-tumor	RSPH1	chr21	43892649	43916502	10118	-0.005					8					
syn3-tumor	SCAF4	chr21	33043391	33104573	32004	0.02					21					
syn3-tumor	U2AF1	chr21	44512936	44527864	9362	-0.05					7					
syn3-tumor	RRP1B	chr21	45079249	45114213	21828	0.00					15					
syn3-tumor	BAGE3	chr21	11020524	11099021	13296	-0.00					9					
syn3-tumor	CYYR1	chr21	27840535	27945482	7956	0.06					6					
syn3-tumor	LOC400867	chr21	40250188	40250998	1622	-0.02					1					
syn3-tumor	SLC37A1	chr21	43938263	44001716	25588	0.025					20					
syn3-tumor	COL6A1	chr21	47401522	47424208	29754	-0.01					10					
syn3-tumor	MIR3687-2	chr21	9825583	9826504	1844	0.02					1					
syn3-tumor	RUNX1-IT1	chr21	36410602	36411078	954	0.01					1					
syn3-tumor	ITGB2	chr21	46306007	46330953	20228	-0.01					13					
syn3-tumor	MIR3118-1	chr21	15016834	15017422	1178	0.05					1					
syn3-tumor	TEKT4P2	chr21	9906882	9966626	4986	-0.09					4					
syn3-tumor	ANKRD30BP2	chr21	14410306	14490581	20018	-0.01					11					
syn3-tumor	MIR3687-1	chr21	9825583	9826504	1844	0.02					1					
syn3-tumor	CBR3-AS1	chr21	37504519	37515925	3322	0.04					2					
syn3-tumor	GRIK1-AS2	chr21	30969600	31003145	3680	-0.04					3					
syn3-tumor	KRTAP21-1	chr21	32127159	32127893	1470	0.10					1					
syn3-tumor	UBE2G2	chr21	46191037	46221938	8656	-0.00					7					
syn3-tumor	IFNAR2	chr21	34602538	34636025	14610	0.04					9					
syn3-tumor	SPATC1L	chr21	47581024	47602985	5452	0.07					3					
syn3-tumor	KRTAP10-8	chr21	46031732	46033102	2742	-0.04					1					
syn3-tumor	COL6A2	chr21	47531108	47552602	28926	-0.03					11					
syn3-tumor	TSPEAR-AS2	chr21	45937416	45938821	2812	-0.01					1					
syn3-tumor	N6AMT1	chr21	30248457	30257953	6342	-0.04					5					
syn3-tumor	KRTAP12-4	chr21	46073995	46074792	1596	0.05					1					
syn3-tumor	ADAMTS1	chr21	28208517	28217425	14248	-0.07					5					
syn3-tumor	TTC3	chr21	38445331	38574150	59872	-0.00					43					
syn3-tumor	KRTAP10-12	chr21	46116899	46118193	2590	0.01					1					
syn3-tumor	ADARB1	chr21	46554421	46646722	19522	0.005					14					
syn3-tumor	PDXK	chr21	45138917	45182179	22114	-0.005					16					
syn3-tumor	C21orf62-AS1	chr21	34156911	34169634	3646	-0.04					3					
syn3-tumor	AIRE	chr21	45705629	45717861	16930	0.02					9					
syn3-tumor	KRTAP8-1	chr21	32185051	32185798	1496	-0.05					1					
syn3-tumor	CHODL	chr21	19617122	19639337	8340	-0.05					6					
syn3-tumor	ABCG1	chr21	43639173	43717334	26044	-0.01					17					
syn3-tumor	MIR125B2	chr21	17962287	17962896	1220	-0.08					1					
syn3-tumor	ERG	chr21	39753762	39947895	22638	0.02					15					
syn3-tumor	KRTAP11-1	chr21	32252719	32254113	2790	0.01					1					
syn3-tumor	LINC00308	chr21	23481490	23487398	3478	-0.01					3					
syn3-tumor	KRTAP21-3	chr21	32090618	32091328	1422	0.04					1					
syn3-tumor	SOD1	chr21	33031822	33041283	6386	0.00					5					
syn3-tumor	MIR3648-1	chr21	9825583	9826504	1844	0.02					1					
syn3-tumor	USP25	chr21	17102494	17252270	38650	0.02					27					
syn3-tumor	TPTE	chr21	10906621	10974008	25870	-0.055					20					
syn3-tumor	TSPEAR	chr21	45919072	46131681	21980	-0.00					15					
syn3-tumor	U2AF1L5	chr21	44512936	44527864	9362	-0.05					7					
syn3-tumor	KRTAP19-8	chr21	32410336	32411032	1394	-0.12					1					
syn3-tumor	MIR3648-2	chr21	9825583	9826504	1844	0.02					1					
syn3-tumor	CLIC6	chr21	36041424	36090736	13368	0.02					9					
syn3-tumor	PSMG1	chr21	40547241	40555605	8646	0					6					
syn3-tumor	FRGCA	chr21	44560313	44561075	1526	-0.12					1					
syn3-tumor	ERVH48-1	chr21	44338405	44339348	1888	-0.02					1					
syn3-tumor	OLIG2	chr21	34398962	34401692	5462	-0.02					1					
syn3-tumor	LTN1	chr21	30300218	30365443	44832	0					28					
syn3-tumor	RUNX1	chr21	36160368	36421459	24362	-0.015					16					
syn3-tumor	LSS	chr21	47608224	47648929	28014	-0.01					20					
syn3-tumor	BAGE5	chr21	11020524	11099021	10414	-0.00					7					
syn3-tumor	SMIM11A	chr21	35751503	35758212	2546	0.02					2					
syn3-tumor	KRTAP20-4	chr21	31992693	31993385	1386	0.08					1					
syn3-tumor	TRPM2-AS	chr21	45841951	45842492	1084	0.09					1					
syn3-tumor	MIR99A	chr21	17911169	17911738	1140	0.06					1					
syn3-tumor	MIR548XHG	chr21	19933833	20058659	2080	-0.05					2					
syn3-tumor	TMPRSS3	chr21	43791754	43816479	18504	0.02					12					
syn3-tumor	HSF2BP	chr21	44949346	45078239	14424	-0.02					11					
syn3-tumor	MRPL39	chr21	26957782	26980033	13450	-0.02					11					
syn3-tumor	USP16	chr21	30399958	30426763	20424	0.005					14					
syn3-tumor	PRDM15	chr21	43221035	43299703	38750	-0.02					25					
syn3-tumor	KRTAP6-3	chr21	31964489	31965610	2244	-0.12					1					
syn3-tumor	ZNF295-AS1	chr21	43429326	43445046	2958	-0.05					2					
syn3-tumor	OLIG1	chr21	34442250	34444924	5350	-0.04					1					
syn3-tumor	WDR4	chr21	44269909	44300246	16486	-0.015					12					
syn3-tumor	TMPRSS2	chr21	42836855	42880161	19328	-0.01					14					
syn3-tumor	WRB-SH3BGR	chr21	40752051	40887675	15170	-0.02	32	BP	Del	1	12	-1.6	1.6	8(40870271-40870834)	1	0.5
syn3-tumor	MRAP	chr21	33671034	33684566	5154	-0.01					4					
syn3-tumor	KRTAP10-5	chr21	45999315	46000664	2700	-0.02					1					
syn3-tumor	PLAC4	chr21	42550884	42557285	12804	0.01					1					
syn3-tumor	NDUFV3	chr21	44313161	44329282	8090	-0.03					5					
syn3-tumor	RRP1	chr21	45209230	45223886	14080	-0.03					10					
syn3-tumor	POFUT2	chr21	46685116	46708041	14014	0.03					9					
syn3-tumor	BAGE2	chr21	11020524	11099021	13296	-0.00					9					
syn3-tumor	WRB	chr21	40752051	40769105	7376	-0.02					6					
syn3-tumor	ATP5J	chr21	27096617	27108081	5904	0.01					4					
syn3-tumor	HLCS	chr21	38123233	38349179	23124	0.02					15					
syn3-tumor	HMGN1	chr21	40714019	40721681	9658	-0.005					4					
syn3-tumor	KRTAP27-1	chr21	31709129	31710239	2222	0.02					1					
syn3-tumor	TRAPPC10	chr21	45432122	45524810	40218	-0.00					27					
syn3-tumor	C21orf2	chr21	45749798	45759327	10138	0.02					7					
syn3-tumor	BACH1	chr21	30693374	30718540	12166	0.05					6					
syn3-tumor	KRTAP10-7	chr21	46020375	46022184	3620	-0.02					1					
syn3-tumor	KRTAP12-1	chr21	46101441	46102304	1728	-0.12					1					
syn3-tumor	LOC388813	chr21	15964663	16015706	9646	0.07					8					
syn3-tumor	SYNJ1	chr21	34000819	34100632	46188	0.01					31					
syn3-tumor	KRTAP22-2	chr21	31962277	31962978	1404	-0.04					1					
syn3-tumor	URB1	chr21	33686616	33765946	54794	-0.01					36					
syn3-tumor	COL18A1	chr21	46875180	46932741	49208	0.02					23					
syn3-tumor	KRTAP10-9	chr21	46046838	46048456	3238	0.01					1					
syn3-tumor	ETS2	chr21	40177061	40196988	17190	0.01					10					
