Length	Count	sample
30	356.0	syn3-normal
32	272.0	syn3-normal
34	248.0	syn3-normal
36	254.0	syn3-normal
38	214.0	syn3-normal
40	227.0	syn3-normal
42	186.0	syn3-normal
44	195.0	syn3-normal
46	193.0	syn3-normal
48	157.0	syn3-normal
50	174.0	syn3-normal
52	128.0	syn3-normal
54	71.0	syn3-normal
56	59.0	syn3-normal
58	25.0	syn3-normal
60	21.0	syn3-normal
62	18.0	syn3-normal
64	9.0	syn3-normal
66	16.0	syn3-normal
68	10.0	syn3-normal
70	7.0	syn3-normal
72	9.0	syn3-normal
74	5.0	syn3-normal
76	4.0	syn3-normal
78	0.0	syn3-normal
80	0.0	syn3-normal
82	0.0	syn3-normal
84	0.0	syn3-normal
86	0.0	syn3-normal
88	0.0	syn3-normal
90	0.0	syn3-normal
92	0.0	syn3-normal
94	0.0	syn3-normal
96	0.0	syn3-normal
98	0.0	syn3-normal
100	1171868.0	syn3-normal
