bamtools,2.4.0
bcbio-nextgen,1.0.2a0
bcbio-variation,0.2.6
bcftools,1.3
bedtools,2.24.0
biobambam,2.0.62
bioconductor-bubbletree,2.1.5
bowtie2,2.2.8
bwa,0.7.15
chanjo,
cnvkit,0.8.5dev0
cufflinks,2.2.1
cutadapt,1.12
fastqc,0.11.5
featurecounts,1.4.4
freebayes,1.1.0
gatk,3.7
gatk-framework,3.6.24
gemini,0.19.2a
grabix,0.1.8
hisat2,2.0.5
htseq,0.6.1.post1
lumpy-sv,0.2.12
manta,1.0.3
metasv,0.4.0
mirdeep2,2.0.0.7
mutect,1.1.5
novoalign,3.06.05
novosort,V3.00.02
oncofuse,1.1.0
phylowgs,20150714
picard,2.7.1
platypus-variant,0.8.1
qualimap,2.2.2a
reporting-suite,2.0
rna-star,
rtg-tools,3.7.1
sailfish,0.10.1
salmon,0.8.0
sambamba,0.6.5
samblaster,0.1.24
samtools,1.3.1
scalpel,0.5.1
seqbuster,3.1
snpeff,4.3g
vardict,2017.02.16
vardict-java,1.4.10
variant-effect-predictor,87
varscan,2.4.2
vcflib,1.0.0_rc1
vt,2015.11.10
wham,1.7.0.307
