Base	N-Count	sample
1	0.0604011249816	syn3-tumor
2	0.0123023507742	syn3-tumor
3	0.0162322683826	syn3-tumor
4	0.0492948360883	syn3-tumor
5	0.0244338355654	syn3-tumor
6	0.0210165159059	syn3-tumor
7	0.0287909181313	syn3-tumor
8	0.0254590314633	syn3-tumor
9	0.0222125777867	syn3-tumor
10	0.0235367891548	syn3-tumor
12	0.0225543097527	syn3-tumor
14	0.0214009643676	syn3-tumor
16	0.0181117941953	syn3-tumor
18	0.0241348200952	syn3-tumor
20	0.018837974623	syn3-tumor
22	0.0273812737717	syn3-tumor
24	0.0181972271868	syn3-tumor
26	0.018496242657	syn3-tumor
28	0.0202476189825	syn3-tumor
30	0.0149946877794	syn3-tumor
32	0.843115913695	syn3-tumor
34	0.0169258255614	syn3-tumor
36	0.0185542002819	syn3-tumor
38	0.0101340820296	syn3-tumor
40	0.00932349889529	syn3-tumor
42	0.0180088307435	syn3-tumor
44	0.0223753557917	syn3-tumor
46	0.0143771116383	syn3-tumor
48	0.0233665257828	syn3-tumor
50	0.256597597185	syn3-tumor
52	0.0181929947125	syn3-tumor
54	0.0213625450797	syn3-tumor
56	0.0132293084411	syn3-tumor
58	0.0192238200685	syn3-tumor
60	0.0110464877307	syn3-tumor
62	0.0188822722438	syn3-tumor
64	0.0126740433024	syn3-tumor
66	0.019311037007	syn3-tumor
68	0.0124603121929	syn3-tumor
70	0.413464486415	syn3-tumor
72	0.0214955047847	syn3-tumor
74	0.0167426150509	syn3-tumor
76	0.0173421394291	syn3-tumor
78	0.0169568021184	syn3-tumor
80	0.0147729715425	syn3-tumor
82	0.0160147575563	syn3-tumor
84	0.0263344275324	syn3-tumor
86	0.0305308078546	syn3-tumor
88	0.0217098451364	syn3-tumor
90	0.0207678005743	syn3-tumor
92	0.0331000202968	syn3-tumor
94	0.0235511140533	syn3-tumor
96	0.0273192923019	syn3-tumor
98	0.034170525481	syn3-tumor
100	0.0926446490645	syn3-tumor
1	0.0598437422854	syn3-normal
2	0.0123433038853	syn3-normal
3	0.0148970908961	syn3-normal
4	0.0470748072316	syn3-normal
5	0.0228138306294	syn3-normal
6	0.0222179469936	syn3-normal
7	0.0300495604933	syn3-normal
8	0.0265593849119	syn3-normal
9	0.0247717340044	syn3-normal
10	0.0246866077707	syn3-normal
12	0.0243461028359	syn3-normal
14	0.0218774420588	syn3-normal
16	0.0193236550481	syn3-normal
18	0.0247291708875	syn3-normal
20	0.0189405869965	syn3-normal
22	0.0277085890667	syn3-normal
24	0.0197067230997	syn3-normal
26	0.0195790337491	syn3-normal
28	0.0212389953061	syn3-normal
30	0.0155794535102	syn3-normal
32	0.840331125207	syn3-normal
34	0.0172480538446	syn3-normal
36	0.0177205041995	syn3-normal
38	0.0114610543574	syn3-normal
40	0.00997162348684	syn3-normal
42	0.0191370919036	syn3-normal
44	0.0236588017137	syn3-normal
46	0.0146666700775	syn3-normal
48	0.024817842579	syn3-normal
50	0.254184772711	syn3-normal
52	0.0185545929442	syn3-normal
54	0.022736899941	syn3-normal
56	0.0141207628113	syn3-normal
58	0.020563420661	syn3-normal
60	0.0120737651589	syn3-normal
62	0.0189002688702	syn3-normal
64	0.0128421077781	syn3-normal
66	0.0207353099289	syn3-normal
68	0.0137383618582	syn3-normal
70	0.415098332524	syn3-normal
72	0.0218451562419	syn3-normal
74	0.0177493106142	syn3-normal
76	0.0177920607302	syn3-normal
78	0.0186881116303	syn3-normal
80	0.0167254332399	syn3-normal
82	0.0166400993969	syn3-normal
84	0.025984155212	syn3-normal
86	0.0318295234617	syn3-normal
88	0.0219734645882	syn3-normal
90	0.0218881307451	syn3-normal
92	0.0332375318722	syn3-normal
94	0.0233814729987	syn3-normal
96	0.0279041666809	syn3-normal
98	0.0359255479286	syn3-normal
100	0.0861871814914	syn3-normal
