#Mapping quality	mapping quality
0.0	9308.0
1.0	1002.0
2.0	566.0
3.0	652.0
4.0	720.0
5.0	624.0
6.0	685.0
7.0	513.0
8.0	471.0
9.0	600.0
10.0	671.0
11.0	639.0
12.0	872.0
13.0	872.0
14.0	754.0
15.0	866.0
16.0	799.0
17.0	1022.0
18.0	910.0
19.0	784.0
20.0	1153.0
21.0	1213.0
22.0	1316.0
23.0	1285.0
24.0	1459.0
25.0	1315.0
26.0	1346.0
27.0	1387.0
28.0	1402.0
29.0	1458.0
30.0	1458.0
31.0	1525.0
32.0	1824.0
33.0	1612.0
34.0	1844.0
35.0	1843.0
36.0	2149.0
37.0	1946.0
38.0	1914.0
39.0	2050.0
40.0	1878.0
41.0	2140.0
42.0	2344.0
43.0	2274.0
44.0	2301.0
45.0	2371.0
46.0	2643.0
47.0	2822.0
48.0	2896.0
49.0	3368.0
50.0	3561.0
51.0	3804.0
52.0	4740.0
53.0	5476.0
54.0	6546.0
55.0	7930.0
56.0	9743.0
57.0	16766.0
58.0	43022.0
59.0	319876.0
60.0	1176032.0
