Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	27.939574099450837	27.0	26.0	32.0	26.0	33.0	syn3-tumor
2	30.212793077877297	32.0	30.0	33.0	27.0	33.0	syn3-tumor
3	30.58837786670403	32.0	31.0	33.0	27.0	34.0	syn3-tumor
4	29.897281351344887	32.0	30.0	33.0	24.0	34.0	syn3-tumor
5	30.476526431258907	32.0	30.0	33.0	26.0	35.0	syn3-tumor
6	30.53194339551716	32.0	30.0	33.0	26.0	35.0	syn3-tumor
7	30.37694146473155	33.0	30.0	33.0	25.0	35.0	syn3-tumor
8	30.335071609933465	33.0	30.0	34.0	25.0	35.0	syn3-tumor
9	30.562672788225285	33.0	31.0	34.0	26.0	35.0	syn3-tumor
10	30.722573446742782	33.0	31.0	34.0	26.0	35.0	syn3-tumor
12	30.568471979687452	33.0	31.0	34.0	25.0	35.0	syn3-tumor
14	30.856845489308917	33.0	31.0	34.0	26.0	35.0	syn3-tumor
16	30.6761060155078	33.0	31.5	34.0	25.0	35.0	syn3-tumor
18	30.883033691354523	33.0	32.0	34.0	26.0	35.0	syn3-tumor
20	30.92113979571263	33.0	32.0	34.0	26.0	35.0	syn3-tumor
22	30.90641499246481	33.0	32.0	34.0	26.0	35.0	syn3-tumor
24	30.793059509204554	33.0	31.5	34.0	25.0	35.0	syn3-tumor
26	30.822966609369608	33.0	32.0	34.0	24.5	35.0	syn3-tumor
28	30.589919932200377	33.0	32.0	34.0	23.5	35.0	syn3-tumor
30	30.61500355385938	33.0	31.5	34.5	23.5	35.0	syn3-tumor
32	30.370751084012596	33.0	31.5	35.0	22.0	35.0	syn3-tumor
34	30.253249601499803	33.0	31.0	34.5	22.0	35.0	syn3-tumor
36	30.396316195092666	33.0	31.5	34.5	22.5	35.0	syn3-tumor
38	30.214892326987282	33.0	31.0	35.0	21.0	35.0	syn3-tumor
40	30.383210023341103	33.0	31.0	35.0	22.0	35.0	syn3-tumor
42	30.239828412681547	33.0	31.0	35.0	21.0	35.0	syn3-tumor
44	30.187651373354548	33.0	31.0	35.0	20.5	35.0	syn3-tumor
46	30.160930023919267	33.0	31.0	35.0	20.0	35.0	syn3-tumor
48	30.00567705659722	33.0	31.0	35.0	18.5	35.0	syn3-tumor
50	29.53101472813212	33.0	31.0	35.0	11.0	35.0	syn3-tumor
52	29.79378046140732	33.0	31.0	35.0	15.5	35.0	syn3-tumor
54	29.912708998980893	33.0	31.0	35.0	14.5	35.0	syn3-tumor
56	29.783236463674186	33.0	31.0	35.0	11.5	35.0	syn3-tumor
58	29.448391024939482	33.0	30.5	35.0	9.5	35.0	syn3-tumor
60	29.660001254473297	33.0	31.5	35.0	7.0	35.0	syn3-tumor
62	29.51289164111831	33.0	31.0	35.0	2.0	35.0	syn3-tumor
64	29.570712604512636	33.0	31.5	35.0	2.0	35.0	syn3-tumor
66	29.394008540120204	33.0	31.0	35.0	2.0	35.0	syn3-tumor
68	29.21134291258798	33.0	31.0	35.0	2.0	35.0	syn3-tumor
70	28.82475338543051	33.0	30.5	35.0	2.0	35.5	syn3-tumor
72	29.02775023940795	33.0	30.5	35.0	2.0	36.0	syn3-tumor
74	28.985678427033456	33.0	30.5	35.0	2.0	36.0	syn3-tumor
76	28.61507007131257	33.0	30.0	35.0	2.0	35.0	syn3-tumor
78	28.920302173639364	33.0	31.0	35.0	2.0	36.0	syn3-tumor
80	28.699066862041	33.0	30.5	35.0	2.0	36.0	syn3-tumor
82	28.55929571035727	33.0	30.0	35.0	2.0	36.0	syn3-tumor
84	28.459520345165128	33.0	30.5	35.0	2.0	36.0	syn3-tumor
86	28.141104572941227	33.0	29.5	35.0	2.0	36.0	syn3-tumor
88	27.912857024183996	33.0	29.5	35.0	2.0	36.0	syn3-tumor
90	27.7107897502126	33.0	29.5	35.0	2.0	36.0	syn3-tumor
92	27.301050465327194	33.0	28.5	35.0	2.0	36.0	syn3-tumor
94	26.916082670405157	33.0	28.0	35.0	2.0	35.5	syn3-tumor
96	26.326302398017255	32.0	27.0	34.5	2.0	35.0	syn3-tumor
98	25.378613704350446	32.0	24.0	34.0	2.0	35.0	syn3-tumor
100	24.13712679575623	31.5	11.0	33.5	2.0	35.0	syn3-tumor
