#Coverage (X)	Coverage
1.0	99.8596652575613
2.0	99.72314266432299
3.0	99.5679762789016
4.0	99.38338486683985
5.0	99.16174412973697
6.0	98.90597274432452
7.0	98.5906960924875
8.0	98.23711925415301
9.0	97.8588825756786
10.0	97.45056565742001
11.0	97.01359805532739
12.0	96.55161322410731
13.0	96.06931678542901
14.0	95.55533185652261
15.0	95.0180570785952
16.0	94.42401701648099
17.0	93.7803594499307
18.0	93.0229330556818
19.0	92.21046875735253
20.0	91.36178904161973
21.0	90.50995238983037
22.0	89.588722709628
23.0	88.63538758537874
24.0	87.62915889097431
25.0	86.5814135091846
26.0	85.48589713272771
27.0	84.3265272571646
28.0	83.12814241712894
29.0	81.89270825205216
30.0	80.59878142268217
31.0	79.22658640504204
32.0	77.81740162719206
33.0	76.36753406959436
34.0	74.88573976244354
35.0	73.3531366542315
36.0	71.77544296875884
37.0	70.13359796002365
38.0	68.42492121061946
39.0	66.66323176139758
40.0	64.86288473669069
41.0	63.040796548575415
42.0	61.14621796082182
43.0	59.21459004802712
44.0	57.23810981729679
45.0	55.2507887872779
46.0	53.21664979989194
47.0	51.16803655851082
48.0	49.08833047521417
49.0	46.990754942540775
50.0	44.87983688766608
51.0	42.772850111654265
