#Coverage	Number of genomic locations
0.0	1481.0
1.0	2032.0
2.0	3096.0
3.0	3672.0
4.0	3984.0
5.0	4524.0
6.0	5080.0
7.0	5249.0
8.0	6053.0
9.0	6562.0
10.0	7466.0
11.0	7449.0
12.0	8251.0
13.0	9398.0
14.0	9427.0
15.0	10125.0
16.0	10578.0
17.0	11465.0
18.0	12330.0
19.0	12554.0
20.0	13679.0
21.0	14422.0
22.0	15799.0
23.0	16946.0
24.0	17944.0
25.0	18849.0
26.0	19353.0
27.0	20267.0
28.0	20872.0
29.0	21624.0
30.0	22463.0
31.0	23315.0
32.0	24056.0
33.0	24798.0
34.0	26198.0
35.0	26436.0
36.0	27466.0
37.0	27986.0
38.0	28724.0
39.0	29284.0
40.0	29754.0
41.0	30698.0
42.0	31465.0
43.0	32448.0
44.0	32927.0
45.0	33704.0
46.0	34141.0
47.0	34442.0
48.0	35275.0
49.0	35594.0
50.0	35934.0
51.0	35900.0
52.0	35499.0
53.0	35703.0
54.0	35276.0
55.0	34488.0
56.0	33827.0
57.0	33132.0
58.0	32208.0
59.0	31762.0
60.0	30287.0
61.0	28964.0
62.0	28447.0
63.0	27516.0
64.0	26248.0
65.0	25505.0
66.0	23920.0
67.0	22249.0
68.0	20986.0
69.0	19584.0
70.0	17987.0
71.0	16280.0
72.0	14910.0
73.0	13421.0
74.0	12314.0
75.0	10967.0
76.0	9795.0
77.0	8723.0
78.0	7766.0
79.0	6659.0
80.0	5704.0
81.0	4953.0
82.0	4181.0
83.0	3536.0
84.0	2985.0
85.0	2598.0
86.0	2225.0
87.0	1826.0
88.0	1605.0
89.0	1341.0
90.0	1170.0
91.0	1060.0
92.0	855.0
93.0	783.0
94.0	699.0
95.0	538.0
96.0	559.0
97.0	493.0
98.0	426.0
99.0	329.0
100.0	397.0
101.0	343.0
102.0	338.0
103.0	344.0
104.0	329.0
105.0	288.0
106.0	276.0
107.0	255.0
108.0	283.0
109.0	280.0
110.0	317.0
111.0	234.0
112.0	224.0
113.0	249.0
114.0	225.0
115.0	203.0
116.0	201.0
117.0	164.0
118.0	179.0
119.0	142.0
120.0	166.0
121.0	134.0
122.0	126.0
123.0	124.0
124.0	103.0
125.0	103.0
126.0	77.0
127.0	97.0
128.0	106.0
129.0	101.0
130.0	97.0
131.0	112.0
132.0	106.0
133.0	113.0
134.0	122.0
135.0	104.0
136.0	82.0
137.0	73.0
138.0	68.0
139.0	77.0
140.0	68.0
141.0	61.0
142.0	52.0
143.0	58.0
144.0	67.0
145.0	47.0
146.0	46.0
147.0	33.0
148.0	57.0
149.0	38.0
150.0	47.0
151.0	47.0
152.0	53.0
153.0	47.0
154.0	55.0
155.0	54.0
156.0	54.0
157.0	67.0
158.0	61.0
159.0	74.0
160.0	77.0
161.0	72.0
162.0	71.0
163.0	71.0
164.0	62.0
165.0	69.0
166.0	43.0
167.0	64.0
168.0	36.0
169.0	53.0
170.0	53.0
171.0	61.0
172.0	43.0
173.0	39.0
174.0	44.0
175.0	33.0
176.0	41.0
177.0	31.0
178.0	48.0
179.0	41.0
180.0	40.0
181.0	40.0
182.0	39.0
183.0	39.0
184.0	35.0
185.0	48.0
186.0	37.0
187.0	45.0
188.0	39.0
189.0	38.0
190.0	28.0
191.0	30.0
192.0	23.0
193.0	53.0
194.0	48.0
195.0	41.0
196.0	41.0
197.0	40.0
198.0	39.0
199.0	41.0
200.0	42.0
201.0	43.0
202.0	49.0
203.0	48.0
204.0	59.0
205.0	54.0
206.0	45.0
207.0	32.0
208.0	32.0
209.0	38.0
210.0	42.0
211.0	36.0
212.0	32.0
213.0	25.0
214.0	24.0
215.0	25.0
216.0	34.0
217.0	24.0
218.0	19.0
219.0	27.0
220.0	38.0
221.0	36.0
222.0	29.0
223.0	39.0
224.0	30.0
225.0	32.0
226.0	40.0
227.0	44.0
228.0	35.0
229.0	47.0
230.0	38.0
231.0	44.0
232.0	40.0
233.0	29.0
234.0	31.0
235.0	27.0
236.0	33.0
237.0	30.0
238.0	34.0
239.0	33.0
240.0	40.0
241.0	49.0
242.0	31.0
243.0	40.0
244.0	33.0
245.0	21.0
246.0	21.0
247.0	13.0
248.0	20.0
249.0	12.0
250.0	18.0
251.0	15.0
252.0	16.0
253.0	13.0
254.0	11.0
255.0	24.0
256.0	17.0
257.0	12.0
258.0	21.0
259.0	11.0
260.0	17.0
261.0	21.0
262.0	21.0
263.0	23.0
264.0	18.0
265.0	12.0
266.0	12.0
267.0	25.0
268.0	7.0
269.0	19.0
270.0	21.0
271.0	19.0
272.0	16.0
273.0	8.0
274.0	14.0
275.0	12.0
276.0	14.0
277.0	12.0
278.0	9.0
279.0	13.0
280.0	13.0
281.0	4.0
282.0	8.0
283.0	14.0
284.0	9.0
285.0	2.0
286.0	9.0
287.0	7.0
288.0	12.0
289.0	3.0
290.0	7.0
291.0	7.0
292.0	4.0
293.0	3.0
294.0	5.0
295.0	6.0
296.0	3.0
297.0	5.0
298.0	5.0
299.0	4.0
300.0	2.0
302.0	2.0
303.0	3.0
305.0	4.0
306.0	2.0
308.0	1.0
314.0	1.0
317.0	1.0
323.0	2.0
324.0	1.0
325.0	1.0
328.0	1.0
329.0	1.0
333.0	2.0
336.0	1.0
338.0	1.0
340.0	1.0
345.0	1.0
350.0	3.0
355.0	1.0
356.0	1.0
358.0	1.0
361.0	1.0
366.0	1.0
369.0	1.0
370.0	1.0
372.0	2.0
374.0	2.0
376.0	1.0
379.0	1.0
387.0	1.0
392.0	1.0
398.0	2.0
401.0	2.0
410.0	1.0
414.0	1.0
415.0	1.0
423.0	1.0
429.0	1.0
434.0	1.0
438.0	1.0
440.0	1.0
445.0	1.0
446.0	1.0
448.0	1.0
452.0	1.0
458.0	1.0
466.0	2.0
473.0	1.0
475.0	1.0
484.0	1.0
486.0	1.0
489.0	1.0
502.0	1.0
503.0	1.0
505.0	2.0
510.0	1.0
519.0	1.0
520.0	1.0
524.0	1.0
526.0	1.0
533.0	1.0
542.0	2.0
545.0	1.0
555.0	1.0
558.0	1.0
560.0	1.0
562.0	1.0
565.0	1.0
571.0	1.0
582.0	1.0
584.0	1.0
585.0	1.0
589.0	1.0
592.0	1.0
605.0	1.0
609.0	1.0
610.0	1.0
612.0	1.0
620.0	1.0
627.0	2.0
628.0	1.0
642.0	1.0
647.0	1.0
651.0	1.0
655.0	1.0
660.0	1.0
665.0	1.0
670.0	1.0
679.0	1.0
682.0	1.0
685.0	1.0
690.0	1.0
697.0	1.0
698.0	1.0
702.0	1.0
711.0	1.0
717.0	1.0
727.0	1.0
733.0	1.0
736.0	1.0
743.0	1.0
747.0	1.0
748.0	1.0
753.0	1.0
759.0	1.0
767.0	1.0
771.0	1.0
772.0	1.0
777.0	1.0
783.0	1.0
787.0	1.0
800.0	1.0
803.0	1.0
807.0	1.0
812.0	1.0
815.0	1.0
831.0	1.0
833.0	2.0
835.0	1.0
849.0	1.0
860.0	1.0
865.0	1.0
870.0	1.0
877.0	1.0
880.0	1.0
888.0	1.0
897.0	1.0
898.0	1.0
901.0	1.0
911.0	1.0
918.0	1.0
926.0	1.0
936.0	1.0
939.0	1.0
945.0	1.0
947.0	1.0
950.0	1.0
952.0	1.0
965.0	1.0
971.0	1.0
972.0	1.0
978.0	1.0
985.0	1.0
994.0	1.0
998.0	1.0
1000.0	1.0
1004.0	1.0
1019.0	1.0
1023.0	1.0
1027.0	1.0
1034.0	1.0
1040.0	1.0
1049.0	1.0
1052.0	1.0
1060.0	1.0
1062.0	1.0
1067.0	1.0
1071.0	1.0
1078.0	1.0
1081.0	1.0
1090.0	1.0
1092.0	1.0
1102.0	1.0
1108.0	1.0
1116.0	1.0
1117.0	1.0
1131.0	1.0
1132.0	1.0
1133.0	1.0
1140.0	1.0
1142.0	1.0
1154.0	1.0
1157.0	1.0
1163.0	1.0
1179.0	1.0
1187.0	2.0
1190.0	1.0
1196.0	1.0
1206.0	1.0
1210.0	1.0
1215.0	1.0
1216.0	1.0
1219.0	1.0
1222.0	1.0
1228.0	1.0
1238.0	1.0
1247.0	1.0
1253.0	1.0
1254.0	1.0
1262.0	1.0
1264.0	1.0
1271.0	1.0
1274.0	2.0
1295.0	1.0
1300.0	1.0
1304.0	1.0
1315.0	1.0
1321.0	1.0
1325.0	1.0
1326.0	1.0
1335.0	1.0
1339.0	1.0
1346.0	1.0
1350.0	1.0
1353.0	1.0
1355.0	1.0
1365.0	2.0
1366.0	1.0
1377.0	1.0
1384.0	1.0
1387.0	1.0
1391.0	1.0
1396.0	1.0
1397.0	1.0
1417.0	1.0
1420.0	1.0
1421.0	1.0
1427.0	1.0
1436.0	1.0
1437.0	1.0
1447.0	1.0
1450.0	1.0
1456.0	1.0
1469.0	1.0
1470.0	1.0
1474.0	1.0
1476.0	1.0
1481.0	1.0
1488.0	1.0
1494.0	1.0
1496.0	1.0
1503.0	1.0
1507.0	1.0
1508.0	1.0
1519.0	1.0
1525.0	1.0
1532.0	1.0
1540.0	1.0
1551.0	1.0
1554.0	1.0
1558.0	1.0
1561.0	1.0
1569.0	1.0
1576.0	1.0
1585.0	1.0
1587.0	1.0
1591.0	1.0
1595.0	1.0
1599.0	1.0
1606.0	1.0
1610.0	1.0
1613.0	1.0
1615.0	1.0
1622.0	1.0
1627.0	1.0
1631.0	1.0
1641.0	1.0
1642.0	1.0
1651.0	1.0
1655.0	1.0
1664.0	1.0
1666.0	1.0
1671.0	2.0
1674.0	1.0
1685.0	1.0
1692.0	2.0
1698.0	2.0
1710.0	1.0
1714.0	1.0
1715.0	2.0
1720.0	1.0
1726.0	1.0
1732.0	1.0
1735.0	1.0
1742.0	1.0
1746.0	1.0
1750.0	1.0
1760.0	1.0
1761.0	2.0
1766.0	1.0
1777.0	1.0
1782.0	1.0
1786.0	1.0
1788.0	2.0
1802.0	1.0
1806.0	1.0
1808.0	1.0
1815.0	1.0
1822.0	1.0
1827.0	1.0
1829.0	1.0
1839.0	1.0
1842.0	1.0
1845.0	1.0
1846.0	1.0
1847.0	1.0
1853.0	1.0
1854.0	1.0
1861.0	1.0
1863.0	1.0
1865.0	1.0
1868.0	1.0
1872.0	1.0
1875.0	1.0
1880.0	1.0
1891.0	1.0
1894.0	1.0
1899.0	1.0
1902.0	2.0
1905.0	1.0
1909.0	1.0
1916.0	1.0
1917.0	1.0
1919.0	1.0
1923.0	1.0
1925.0	1.0
1927.0	1.0
1930.0	1.0
1934.0	1.0
1942.0	1.0
1944.0	2.0
1954.0	1.0
1956.0	1.0
1961.0	1.0
1964.0	1.0
1967.0	1.0
1969.0	1.0
1970.0	1.0
1973.0	1.0
1984.0	1.0
1985.0	1.0
1987.0	1.0
1988.0	2.0
1996.0	1.0
1997.0	2.0
1998.0	1.0
2000.0	1.0
2010.0	1.0
2011.0	1.0
2012.0	1.0
2013.0	1.0
2014.0	1.0
2016.0	1.0
2019.0	1.0
2020.0	2.0
2022.0	1.0
2023.0	1.0
2026.0	1.0
2027.0	1.0
2041.0	1.0
2045.0	1.0
2061.0	1.0
