Sample	Gene	Chr	Start	End	Length	Log2ratio	Sig	BP_Whole	Amp_Del	Ab_Seg	Total_Seg	Ab_log2ratio	Log2r_Diff	Ab_Seg_Loc	Ab_Samples	Ab_Samples_Pcnt
syn3-normal-germline	NDUFV3	chr21	44313161	44329282	12135	0.000					5					
syn3-normal-germline	C21orf33	chr21	45553333	45565761	17532	0					8					
syn3-normal-germline	SMIM11B	chr21	35751503	35758212	3819	0					2					
syn3-normal-germline	TIAM1	chr21	32490596	32906652	61974	0					28					
syn3-normal-germline	DSCAM	chr21	41384532	42219129	84183	0					40					
syn3-normal-germline	PAXBP1-AS1	chr21	34113509	34114093	1755	0.000					1					
syn3-normal-germline	APP	chr21	27252968	27543412	41400	0					20					
syn3-normal-germline	DYRK1A	chr21	38792370	38887801	33777	0					12					
syn3-normal-germline	KRTAP8-1	chr21	32185051	32185798	2244	0.000					1					
syn3-normal-germline	MRAP	chr21	33671034	33684566	7731	0					4					
syn3-normal-germline	TFF3	chr21	43731949	43735844	6078	0.000					3					
syn3-normal-germline	RUNX1	chr21	36160368	36421459	36543	0					16					
syn3-normal-germline	PDE9A	chr21	44073652	44195702	38295	0					20					
syn3-normal-germline	GRIK1-AS1	chr21	31130882	31131578	2091	0.000					1					
syn3-normal-germline	SSR4P1	chr21	46491731	46492472	2226	0.000					1					
syn3-normal-germline	DSCR9	chr21	38592324	38594071	4590	0					2					
syn3-normal-germline	N6AMT1	chr21	30248457	30257953	9513	0.000					5					
syn3-normal-germline	AIRE	chr21	45705629	45717861	25395	0.000					9					
syn3-normal-germline	CHAF1B	chr21	37758146	37788908	23952	0.000					13					
syn3-normal-germline	TSPEAR	chr21	45919072	46131681	32970	0.000					15					
syn3-normal-germline	MRPS6	chr21	35445573	35515131	8631	0					4					
syn3-normal-germline	PFKL	chr21	45719770	45747018	40278	0					16					
syn3-normal-germline	ZNF295-AS1	chr21	43429326	43445046	4437	0					2					
syn3-normal-germline	MIR125B2	chr21	17962287	17962896	1830	0.000					1					
syn3-normal-germline	LINC00158	chr21	26801948	26803886	3933	0					2					
syn3-normal-germline	DONSON	chr21	34950315	34961426	19512	0					8					
syn3-normal-germline	KRTAP6-3	chr21	31964489	31965610	3366	0.000					1					
syn3-normal-germline	COL18A1-AS1	chr21	46840941	46842756	4614	0					2					
syn3-normal-germline	AATBC	chr21	45231157	45232562	4218	0.000					1					
syn3-normal-germline	SOD1	chr21	33031822	33041283	9579	0.000					5					
syn3-normal-germline	SAMSN1-AS1	chr21	15955663	15956384	2166	0.000					1					
syn3-normal-germline	MIR3197	chr21	42539243	42539788	1638	0.000					1					
syn3-normal-germline	B3GALT5	chr21	41032251	41034934	8052	0.000					1					
syn3-normal-germline	UMODL1-AS1	chr21	43528140	43528738	1797	0.000					1					
syn3-normal-germline	PRDM15	chr21	43221035	43299703	58125	0.000					25					
syn3-normal-germline	UMODL1	chr21	43491152	43557970	53373	0					22					
syn3-normal-germline	CLDN14	chr21	37833026	37834288	3789	0.000					1					
syn3-normal-germline	MIRLET7C	chr21	17911928	17912491	1692	0.000					1					
syn3-normal-germline	CSTB	chr21	45193796	45196413	4950	0					2					
syn3-normal-germline	TRPM2	chr21	45773348	45861970	67098	0.000					29					
syn3-normal-germline	PLAC4	chr21	42550884	42557285	19206	0.000					1					
