#GC Content (%)	Sample	HUMAN (hg19)
1.0	0.0	0.0
2.0	0.0	3.0E-6
3.0	0.0	3.0E-6
4.0	0.0	1.0E-5
5.0	0.0	8.0E-6
6.0	1.1273448773448773E-5	1.2000000000000002E-5
7.0	0.0	6.999999999999999E-6
8.0	0.0	9.999999999999999E-6
9.0	0.0	1.6E-5
10.0	0.0	1.5000000000000002E-5
11.0	0.0	1.9999999999999998E-5
12.0	0.0	1.6E-5
13.0	0.0	1.6E-5
14.0	0.0	2.4999999999999998E-5
15.0	1.1273448773448773E-5	2.2000000000000003E-5
16.0	0.0	2.6999999999999996E-5
17.0	2.2546897546897547E-5	3.3E-5
18.0	2.2546897546897547E-5	3.7000000000000005E-5
19.0	5.636724386724387E-5	4.7000000000000004E-5
20.0	5.636724386724387E-5	5.4999999999999995E-5
21.0	1.9164862914862918E-4	6.400000000000001E-5
22.0	9.582431457431457E-4	9.3E-5
23.0	0.001736111111111111	1.66E-4
24.0	0.0031114718614718615	3.03E-4
25.0	0.004757395382395382	7.059999999999999E-4
26.0	0.005343614718614718	0.0016020000000000001
27.0	0.007609577922077922	0.0033690000000000005
28.0	0.009683892496392496	0.006167999999999999
29.0	0.011983676046176046	0.010352
30.0	0.014790764790764792	0.015647
31.0	0.015658820346320344	0.022148
32.0	0.01700036075036075	0.028808
33.0	0.018319354256854256	0.035106000000000005
34.0	0.01909722222222222	0.041161
35.0	0.020089285714285712	0.047408
36.0	0.021115169552669552	0.052698999999999996
37.0	0.021577380952380952	0.057517000000000006
38.0	0.021780303030303032	0.061487999999999994
39.0	0.022287608225108224	0.063321
40.0	0.021475919913419912	0.060248
41.0	0.02242288961038961	0.055508
42.0	0.022129779942279944	0.051446000000000006
43.0	0.021735209235209232	0.048194
44.0	0.02182539682539682	0.044423
45.0	0.022648358585858584	0.040655000000000004
46.0	0.022208694083694084	0.03652
47.0	0.022659632034632032	0.032315
48.0	0.022738546176046176	0.028137999999999996
49.0	0.023313492063492064	0.02458
50.0	0.0229978354978355	0.020810000000000002
51.0	0.02610930735930736	0.017532
52.0	0.020630411255411256	0.014506999999999997
53.0	0.023527687590187592	0.012007
54.0	0.023166937229437228	0.010018
55.0	0.023832070707070704	0.008414999999999999
56.0	0.023651695526695528	0.007258
57.0	0.02492559523809524	0.006174999999999999
58.0	0.024226641414141412	0.005363000000000001
59.0	0.0248241341991342	0.0046159999999999994
60.0	0.02550054112554112	0.003946
61.0	0.026436237373737376	0.0034579999999999993
62.0	0.024700126262626264	0.002915
63.0	0.025263798701298704	0.0024610000000000005
64.0	0.024328102453102456	0.0019950000000000002
65.0	0.023189484126984128	0.0016779999999999998
66.0	0.02131809163059163	0.0013500000000000003
67.0	0.020641684704184704	0.001069
68.0	0.018826659451659452	8.119999999999999E-4
69.0	0.016763618326118328	6.4E-4
70.0	0.014317279942279944	5.05E-4
71.0	0.010608315295815296	4.0299999999999993E-4
72.0	0.008906024531024532	3.2E-4
73.0	0.00726010101010101	2.79E-4
74.0	0.005997474747474747	2.0700000000000002E-4
75.0	0.004937770562770562	2.0099999999999998E-4
76.0	0.003911886724386724	1.54E-4
77.0	0.0036187770562770565	1.12E-4
78.0	0.0035849567099567104	7.699999999999999E-5
79.0	0.002457611832611833	6.3E-5
80.0	0.002457611832611832	3.7E-5
81.0	0.002096861471861472	2.8000000000000003E-5
82.0	0.0015219155844155845	1.6E-5
83.0	0.001240079365079365	9.0E-6
84.0	8.116883116883117E-4	4.0E-6
85.0	5.411255411255411E-4	0.0
86.0	2.254689754689755E-4	1.0E-6
87.0	1.3528138528138528E-4	0.0
88.0	2.2546897546897547E-5	0.0
89.0	1.1273448773448773E-5	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	1.1273448773448773E-5	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	3.382034632034632E-5	0.0
