Quality	Count	sample
2	28250.0	syn3-tumor
3	7015.0	syn3-tumor
4	5224.0	syn3-tumor
5	4867.0	syn3-tumor
6	5242.0	syn3-tumor
7	5714.0	syn3-tumor
8	6078.0	syn3-tumor
9	6739.0	syn3-tumor
10	7123.0	syn3-tumor
11	7314.0	syn3-tumor
12	7126.0	syn3-tumor
13	6827.0	syn3-tumor
14	6577.0	syn3-tumor
15	6605.0	syn3-tumor
16	6585.0	syn3-tumor
17	6710.0	syn3-tumor
18	7108.0	syn3-tumor
19	7406.0	syn3-tumor
20	7720.0	syn3-tumor
21	8093.0	syn3-tumor
22	8909.0	syn3-tumor
23	10021.0	syn3-tumor
24	11494.0	syn3-tumor
25	13853.0	syn3-tumor
26	17083.0	syn3-tumor
27	21324.0	syn3-tumor
28	27540.0	syn3-tumor
29	36128.0	syn3-tumor
30	50773.0	syn3-tumor
31	80883.0	syn3-tumor
32	179028.0	syn3-tumor
33	396840.0	syn3-tumor
34	162289.0	syn3-tumor
35	20.0	syn3-tumor
