Base	N-Count	sample
1	0.05984374228543508	syn3-normal
2	0.012343303885331558	syn3-normal
3	0.014897090896089812	syn3-normal
4	0.047074807231643805	syn3-normal
5	0.022813830629440396	syn3-normal
6	0.022217946993596804	syn3-normal
7	0.030049560493255446	syn3-normal
8	0.026559384911885836	syn3-normal
9	0.024771734004355055	syn3-normal
10	0.024686607770663116	syn3-normal
12	0.02434610283589535	syn3-normal
14	0.02187744205882904	syn3-normal
16	0.019323655048070786	syn3-normal
18	0.024729170887509085	syn3-normal
20	0.018940586996457044	syn3-normal
22	0.02770858906672705	syn3-normal
24	0.019706723099684523	syn3-normal
26	0.01957903374914661	syn3-normal
28	0.021238995306139475	syn3-normal
30	0.015579453510229657	syn3-normal
32	0.8403311252074642	syn3-normal
34	0.017248053844591202	syn3-normal
36	0.017720504199461314	syn3-normal
38	0.011461054357352266	syn3-normal
40	0.009971623486838097	syn3-normal
42	0.019137091903646233	syn3-normal
44	0.023658801713664558	syn3-normal
46	0.014666670077520172	syn3-normal
48	0.024817842578974684	syn3-normal
50	0.25418477271147344	syn3-normal
52	0.01855459294422148	syn3-normal
54	0.022736899941003506	syn3-normal
56	0.01412076281128603	syn3-normal
58	0.020563420661032915	syn3-normal
60	0.012073765158868138	syn3-normal
62	0.018900268870190563	syn3-normal
64	0.012842107778136163	syn3-normal
66	0.020735309928885566	syn3-normal
68	0.013738361858211572	syn3-normal
70	0.41509833252409994	syn3-normal
72	0.021845156241933398	syn3-normal
74	0.01774931061421575	syn3-normal
76	0.01779206073023396	syn3-normal
78	0.018688111630320137	syn3-normal
80	0.01672543323992122	syn3-normal
82	0.016640099396860397	syn3-normal
84	0.025984155212020466	syn3-normal
86	0.03182952346168681	syn3-normal
88	0.021973464588161806	syn3-normal
90	0.021888130745100983	syn3-normal
92	0.03323753187219038	syn3-normal
94	0.023381472998665376	syn3-normal
96	0.027904166680888975	syn3-normal
98	0.03592554792860629	syn3-normal
100	0.08618718149143077	syn3-normal
