chromosome	start	end	gene	log2	baf	depth	probes	weight	ci_lo	ci_hi	pi_lo	pi_hi
chr1	10500	121484934	-	0		0	804	538.3	0	0	0	0
chr1	142535934	249240121	-	0		0	698	468.231	0	0	0	0
chr2	10500	92325671	-	0		0	604	405.451	0	0	0	0
chr2	95326671	243188873	-	0		0	983	658.944	0	0	0	0
chr3	60500	90504354	-	0		0	603	403.711	0	0	0	0
chr3	93505354	197961930	-	0		0	696	466.78	0	0	0	0
chr4	10500	49659617	-	0		0	329	220.542	0	0	0	0
chr4	52660617	191043776	-	0		0	922	618.043	0	0	0	0
chr5	10500	46405141	-	0		0	309	207.094	0	0	0	0
chr5	49406141	180904760	-	0		0	876	586.938	0	0	0	0
chr6	60500	58779666	-	0		0	391	262.168	0	0	0	0
chr6	61880666	171054567	-	0		0	726	485.823	0	0	0	0
chr7	10500	58053831	-	0		0	386	258.964	0	0	0	0
chr7	61054831	159128163	-	0		0	650	435.186	0	0	0	0
chr8	10500	43838387	-	0		0	291	195.396	0	0	0	0
chr8	46839387	146303522	-	0		0	662	443.117	0	0	0	0
chr9	10500	47317179	-	0		0	307	206.629	0	0	0	0
chr9	65468179	141152931	-	0		0	491	330.076	0	0	0	0
chr10	60500	39154435	-	0		0	260	174.242	0	0	0	0
chr10	42355435	135524247	-	0		0	616	412.487	0	0	0	0
chr11	60500	51593705	-	0		0	340	228.68	0	0	0	0
chr11	54694705	134946016	-	0		0	533	357.257	0	0	0	0
chr12	60500	34856194	-	0		0	232	155.034	0	0	0	0
chr12	37857194	133841395	-	0		0	639	428.013	0	0	0	0
chr13	19020500	115109378	-	0		0	637	427.136	0	0	0	0
chr14	19000500	107289040	-	0		0	589	394.531	0	0	0	0
chr15	20000500	102520892	-	0		0	544	365.025	0	0	0	0
chr16	60500	35285301	-	0		0	233	156.505	0	0	0	0
chr16	46386301	90294253	-	0		0	292	195.981	0	0	0	0
chr17	500	22262506	-	0		0	147	98.5785	0	0	0	0
chr17	25263506	81194710	-	0		0	373	249.026	0	0	0	0
chr18	10500	15410398	-	0		0	103	68.8168	0	0	0	0
chr18	18511398	78016748	-	0		0	396	264.778	0	0	0	0
chr19	60500	24631282	-	0		0	164	109.115	0	0	0	0
chr19	27732282	59118483	-	0		0	209	140.254	0	0	0	0
chr20	60500	26319069	-	0		0	175	117.34	0	0	0	0
chr20	29420069	62965020	-	0		0	222	148.542	0	0	0	0
chr21	9483183	11099021	-	0.145032	0.452417	53.4264	96	2.23626	0.0504134	0.249788	-1.11192	0.952359
chr21	14410304	48111423	-	-0.0220084	0.565488	47.6444	5966	193.464	-0.0179518	0.0365686	-0.9581	0.528172
chr22	16050500	51244066	-	0		0	232	155.914	0	0	0	0
chrX	60500	58581512	-	0		0	389	258.775	0	0	0	0
chrX	61682512	155260060	-	0		0	622	416.343	0	0	0	0
chrY	10500	28818861	-	1		0	170	112.361	1	1	1	1
chrY	58819861	59363066	-	1		0	4	2.19949	1	1	1	1
