#Mapping quality	mapping quality
0.0	9308.0
1.0	1002.0
2.0	566.0
3.0	652.0
4.0	720.0
5.0	624.0
6.0	685.0
7.0	513.0
8.0	471.0
9.0	600.0
10.0	671.0
11.0	639.0
12.0	872.0
13.0	872.0
14.0	754.0
15.0	866.0
16.0	799.0
17.0	1019.0
18.0	911.0
19.0	786.0
20.0	1153.0
21.0	1213.0
22.0	1315.0
23.0	1284.0
24.0	1460.0
25.0	1315.0
26.0	1344.0
27.0	1378.0
28.0	1397.0
29.0	1463.0
30.0	1465.0
31.0	1524.0
32.0	1823.0
33.0	1615.0
34.0	1841.0
35.0	1834.0
36.0	2161.0
37.0	1944.0
38.0	1915.0
39.0	2046.0
40.0	1886.0
41.0	2140.0
42.0	2344.0
43.0	2275.0
44.0	2301.0
45.0	2367.0
46.0	2639.0
47.0	2808.0
48.0	2886.0
49.0	3333.0
50.0	3558.0
51.0	3846.0
52.0	4763.0
53.0	5457.0
54.0	6559.0
55.0	7909.0
56.0	9686.0
57.0	16759.0
58.0	43090.0
59.0	319796.0
60.0	1176140.0
