#Mapping quality	mapping quality
0.0	9354.0
1.0	909.0
2.0	776.0
3.0	639.0
4.0	596.0
5.0	688.0
6.0	620.0
7.0	741.0
8.0	535.0
9.0	637.0
10.0	636.0
11.0	721.0
12.0	737.0
13.0	840.0
14.0	752.0
15.0	732.0
16.0	923.0
17.0	873.0
18.0	1015.0
19.0	1002.0
20.0	1116.0
21.0	1093.0
22.0	1172.0
23.0	1191.0
24.0	1263.0
25.0	1417.0
26.0	1410.0
27.0	1406.0
28.0	1567.0
29.0	1545.0
30.0	1510.0
31.0	1553.0
32.0	1541.0
33.0	1642.0
34.0	1423.0
35.0	1494.0
36.0	1793.0
37.0	2187.0
38.0	2077.0
39.0	1775.0
40.0	2135.0
41.0	2411.0
42.0	2349.0
43.0	2429.0
44.0	2512.0
45.0	2539.0
46.0	2577.0
47.0	2648.0
48.0	2886.0
49.0	2899.0
50.0	3494.0
51.0	4071.0
52.0	4892.0
53.0	5105.0
54.0	5820.0
55.0	7461.0
56.0	10378.0
57.0	15258.0
58.0	42335.0
59.0	314579.0
60.0	1183808.0
