#Read position (bp)	Clipping profile
0.0	2.330603057589705
1.0	2.3106228920665215
2.0	2.2222730976436935
3.0	2.1002067739004926
4.0	1.964508149722203
5.0	1.800712417776936
6.0	1.7370256401717878
7.0	1.6637650332534473
8.0	1.5824915474534134
9.0	1.4932051827716861
10.0	1.403398501279459
11.0	1.349285552987503
12.0	1.2968376184891457
13.0	1.233567094332397
14.0	1.1792460193162413
15.0	1.1201380296434893
16.0	1.0768476710099246
17.0	1.0314760451343614
18.0	0.9933888546057923
19.0	0.9486416089028288
20.0	0.9068081373386627
21.0	0.874444431725589
22.0	0.8445782468029134
23.0	0.8132551748108388
24.0	0.7855743204922614
25.0	0.7577894028115839
26.0	0.734271082977003
27.0	0.7174128183168167
28.0	0.6983692230525322
29.0	0.6805743881334467
30.0	0.6611145394207626
31.0	0.6464416053646744
32.0	0.630936164411787
33.0	0.6115803790612028
34.0	0.5922245937106185
35.0	0.5784882299134297
36.0	0.5637112324952417
37.0	0.5536170863715499
38.0	0.5409213561953602
39.0	0.5272890557602713
40.0	0.5180274165333789
41.0	0.5114714247210841
42.0	0.508037333771787
43.0	0.4999203915279936
44.0	0.4912831324737006
45.0	0.4876409148002035
46.0	0.48285400014360746
47.0	0.4794199091943102
48.0	0.4755695647966134
49.0	0.4726557906578157
50.0	0.47151109367471666
51.0	0.4706785867779173
52.0	0.4735923609167149
53.0	0.4769223885039122
54.0	0.4816052397984084
55.0	0.48555964755820524
56.0	0.48972218204220186
57.0	0.49575785704399694
58.0	0.5004407083384932
59.0	0.5075170169612874
60.0	0.5185477333438784
61.0	0.5320759704168674
62.0	0.5439391936962578
63.0	0.556010543699848
64.0	0.5701631609454365
65.0	0.5848360950015246
66.0	0.6048162605247083
67.0	0.623547665702693
68.0	0.6439440846742764
69.0	0.6609064126965627
70.0	0.6744346497695517
71.0	0.6944148152927354
72.0	0.7156437411611182
73.0	0.7351035898738024
74.0	0.7562284523800852
75.0	0.7792264554041665
76.0	0.8069073097227439
77.0	0.8320906433509235
78.0	0.8629974618945984
79.0	0.8940083438003732
80.0	0.9276208097586459
81.0	0.9664364438219143
82.0	1.006292711506182
83.0	1.0522887175543445
84.0	1.0970359632573081
85.0	1.1369962943036755
86.0	1.1927742563892303
87.0	1.2539635133039806
88.0	1.3115105525452337
89.0	1.3683291482517874
90.0	1.4211933361985447
91.0	1.521302290538663
92.0	1.6043448534943956
93.0	1.686450846191229
94.0	1.7574220591433714
95.0	1.8176747457992222
96.0	1.9794932738645905
97.0	2.1122781239040824
98.0	2.2202958937637947
99.0	2.3097903851697223
100.0	2.3288339804340064
