#Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	sample
1	93.65063559031044	86.83983244430796	syn3-normal
2	5.534075979232716	10.263213436649897	syn3-normal
3	0.6416796702572442	1.7850393015535477	syn3-normal
4	0.11002894500509318	0.4081080747840591	syn3-normal
5	0.023507398379018662	0.1089890380117606	syn3-normal
6	0.006395863071446311	0.03558431871562869	syn3-normal
7	0.00451618571702027	0.029314202294190964	syn3-normal
8	0.0022578267190388438	0.016748998465091133	syn3-normal
9	0.0022753760536220738	0.01898908070393256	syn3-normal
>10	0.02440996419390067	0.4837080459377647	syn3-normal
>50	2.1720106045605573E-4	0.010473058576138838	syn3-normal
>100	0.0	0.0	syn3-normal
>500	0.0	0.0	syn3-normal
>1k	0.0	0.0	syn3-normal
>5k	0.0	0.0	syn3-normal
>10k+	0.0	0.0	syn3-normal
