GC_Content	Count	sample
0	50.0	syn3-normal
1	60.5	syn3-normal
2	75.0	syn3-normal
3	79.5	syn3-normal
4	76.5	syn3-normal
5	67.5	syn3-normal
6	58.0	syn3-normal
7	64.5	syn3-normal
8	78.5	syn3-normal
9	74.5	syn3-normal
10	69.0	syn3-normal
11	67.5	syn3-normal
12	62.0	syn3-normal
13	71.0	syn3-normal
14	84.5	syn3-normal
15	101.5	syn3-normal
16	114.0	syn3-normal
17	146.5	syn3-normal
18	221.5	syn3-normal
19	319.5	syn3-normal
20	520.5	syn3-normal
21	956.5	syn3-normal
22	1627.5	syn3-normal
23	2518.0	syn3-normal
24	3726.0	syn3-normal
25	5210.0	syn3-normal
26	6882.5	syn3-normal
27	8928.5	syn3-normal
28	11249.5	syn3-normal
29	13641.0	syn3-normal
30	15953.5	syn3-normal
31	17750.5	syn3-normal
32	19204.0	syn3-normal
33	20854.0	syn3-normal
34	22484.5	syn3-normal
35	23664.0	syn3-normal
36	24175.0	syn3-normal
37	24820.5	syn3-normal
38	25678.0	syn3-normal
39	26117.5	syn3-normal
40	26594.5	syn3-normal
41	26772.5	syn3-normal
42	26723.5	syn3-normal
43	27042.5	syn3-normal
44	27395.0	syn3-normal
45	27233.0	syn3-normal
46	27374.0	syn3-normal
47	27964.0	syn3-normal
48	28218.0	syn3-normal
49	28469.0	syn3-normal
50	28630.5	syn3-normal
51	28657.5	syn3-normal
52	28508.0	syn3-normal
53	28224.5	syn3-normal
54	28474.5	syn3-normal
55	28798.0	syn3-normal
56	28768.0	syn3-normal
57	29129.5	syn3-normal
58	29493.0	syn3-normal
59	29675.5	syn3-normal
60	29779.0	syn3-normal
61	29602.0	syn3-normal
62	28810.5	syn3-normal
63	28082.0	syn3-normal
64	27253.5	syn3-normal
65	25482.0	syn3-normal
66	23779.5	syn3-normal
67	22314.5	syn3-normal
68	20371.5	syn3-normal
69	17867.0	syn3-normal
70	15131.5	syn3-normal
71	12348.5	syn3-normal
72	9969.0	syn3-normal
73	8203.0	syn3-normal
74	6784.5	syn3-normal
75	5551.0	syn3-normal
76	4736.5	syn3-normal
77	4401.0	syn3-normal
78	3871.5	syn3-normal
79	3195.5	syn3-normal
80	2777.0	syn3-normal
81	2326.5	syn3-normal
82	1792.5	syn3-normal
83	1364.0	syn3-normal
84	1038.0	syn3-normal
85	685.5	syn3-normal
86	432.0	syn3-normal
87	296.0	syn3-normal
88	208.0	syn3-normal
89	140.5	syn3-normal
90	105.5	syn3-normal
91	73.0	syn3-normal
92	47.5	syn3-normal
93	34.0	syn3-normal
94	25.5	syn3-normal
95	18.0	syn3-normal
96	9.0	syn3-normal
97	5.0	syn3-normal
98	5.5	syn3-normal
99	5.0	syn3-normal
100	2.0	syn3-normal
0	53.0	syn3-tumor
1	57.0	syn3-tumor
2	72.0	syn3-tumor
3	84.5	syn3-tumor
4	86.5	syn3-tumor
5	78.0	syn3-tumor
6	66.0	syn3-tumor
7	63.0	syn3-tumor
8	66.0	syn3-tumor
9	65.0	syn3-tumor
10	71.0	syn3-tumor
11	82.0	syn3-tumor
12	76.0	syn3-tumor
13	73.5	syn3-tumor
14	79.0	syn3-tumor
15	82.5	syn3-tumor
16	112.5	syn3-tumor
17	142.5	syn3-tumor
18	175.5	syn3-tumor
19	290.5	syn3-tumor
20	517.5	syn3-tumor
21	930.5	syn3-tumor
22	1616.5	syn3-tumor
23	2533.5	syn3-tumor
24	3684.0	syn3-tumor
25	5183.0	syn3-tumor
26	6894.5	syn3-tumor
27	8731.5	syn3-tumor
28	10896.5	syn3-tumor
29	13479.0	syn3-tumor
30	15831.0	syn3-tumor
31	17696.5	syn3-tumor
32	19315.5	syn3-tumor
33	20808.5	syn3-tumor
