Quality	Count	sample
2	28570.0	syn3-normal
3	7125.0	syn3-normal
4	5056.0	syn3-normal
5	4926.0	syn3-normal
6	5292.0	syn3-normal
7	5612.0	syn3-normal
8	6194.0	syn3-normal
9	6599.0	syn3-normal
10	7107.0	syn3-normal
11	7227.0	syn3-normal
12	7008.0	syn3-normal
13	7038.0	syn3-normal
14	6628.0	syn3-normal
15	6645.0	syn3-normal
16	6639.0	syn3-normal
17	6965.0	syn3-normal
18	7189.0	syn3-normal
19	7275.0	syn3-normal
20	7798.0	syn3-normal
21	8283.0	syn3-normal
22	9028.0	syn3-normal
23	10041.0	syn3-normal
24	11615.0	syn3-normal
25	13975.0	syn3-normal
26	17346.0	syn3-normal
27	21539.0	syn3-normal
28	27665.0	syn3-normal
29	36588.0	syn3-normal
30	51196.0	syn3-normal
31	80816.0	syn3-normal
32	179406.0	syn3-normal
33	397439.0	syn3-normal
34	162875.0	syn3-normal
35	21.0	syn3-normal
2	28250.0	syn3-tumor
3	7015.0	syn3-tumor
4	5224.0	syn3-tumor
5	4867.0	syn3-tumor
6	5242.0	syn3-tumor
7	5714.0	syn3-tumor
8	6078.0	syn3-tumor
9	6739.0	syn3-tumor
10	7123.0	syn3-tumor
11	7314.0	syn3-tumor
12	7126.0	syn3-tumor
13	6827.0	syn3-tumor
14	6577.0	syn3-tumor
15	6605.0	syn3-tumor
16	6585.0	syn3-tumor
17	6710.0	syn3-tumor
18	7108.0	syn3-tumor
19	7406.0	syn3-tumor
20	7720.0	syn3-tumor
21	8093.0	syn3-tumor
22	8909.0	syn3-tumor
23	10021.0	syn3-tumor
24	11494.0	syn3-tumor
25	13853.0	syn3-tumor
26	17083.0	syn3-tumor
27	21324.0	syn3-tumor
28	27540.0	syn3-tumor
29	36128.0	syn3-tumor
30	50773.0	syn3-tumor
31	80883.0	syn3-tumor
32	179028.0	syn3-tumor
33	396840.0	syn3-tumor
34	162289.0	syn3-tumor
35	20.0	syn3-tumor
