#Coverage	Number of genomic locations
0.0	2356.0
1.0	2292.0
2.0	2605.0
3.0	3099.0
4.0	3721.0
5.0	4294.0
6.0	5293.0
7.0	5936.0
8.0	6350.0
9.0	6855.0
10.0	7336.0
11.0	7756.0
12.0	8097.0
13.0	8629.0
14.0	9020.0
15.0	9973.0
16.0	10806.0
17.0	12716.0
18.0	13640.0
19.0	14248.0
20.0	14301.0
21.0	15466.0
22.0	16005.0
23.0	16893.0
24.0	17590.0
25.0	18392.0
26.0	19464.0
27.0	20119.0
28.0	20741.0
29.0	21723.0
30.0	23037.0
31.0	23658.0
32.0	24341.0
33.0	24877.0
34.0	25730.0
35.0	26487.0
36.0	27564.0
37.0	28686.0
38.0	29576.0
39.0	30225.0
40.0	30590.0
41.0	31807.0
42.0	32429.0
43.0	33182.0
44.0	33364.0
45.0	34150.0
46.0	34393.0
47.0	34915.0
48.0	35215.0
49.0	35439.0
50.0	35373.0
51.0	34933.0
52.0	34997.0
53.0	34404.0
54.0	33516.0
55.0	33748.0
56.0	32909.0
57.0	32688.0
58.0	32126.0
59.0	30893.0
60.0	30046.0
61.0	29176.0
62.0	28594.0
63.0	26931.0
64.0	25254.0
65.0	24243.0
66.0	22666.0
67.0	21679.0
68.0	20580.0
69.0	19272.0
70.0	17917.0
71.0	16686.0
72.0	15280.0
73.0	13810.0
74.0	12351.0
75.0	11067.0
76.0	9566.0
77.0	8533.0
78.0	7344.0
79.0	6331.0
80.0	5485.0
81.0	4832.0
82.0	4304.0
83.0	3695.0
84.0	3225.0
85.0	2638.0
86.0	2283.0
87.0	1813.0
88.0	1592.0
89.0	1347.0
90.0	1159.0
91.0	1026.0
92.0	848.0
93.0	710.0
94.0	624.0
95.0	578.0
96.0	501.0
97.0	485.0
98.0	462.0
99.0	391.0
100.0	387.0
101.0	298.0
102.0	345.0
103.0	353.0
104.0	335.0
105.0	313.0
106.0	308.0
107.0	273.0
108.0	238.0
109.0	218.0
110.0	219.0
111.0	215.0
112.0	202.0
113.0	194.0
114.0	151.0
115.0	139.0
116.0	143.0
117.0	154.0
118.0	158.0
119.0	168.0
120.0	127.0
121.0	107.0
122.0	103.0
123.0	123.0
124.0	121.0
125.0	111.0
126.0	116.0
127.0	102.0
128.0	96.0
129.0	96.0
130.0	102.0
131.0	81.0
132.0	82.0
133.0	71.0
134.0	73.0
135.0	61.0
136.0	88.0
137.0	72.0
138.0	79.0
139.0	86.0
140.0	83.0
141.0	88.0
142.0	113.0
143.0	107.0
144.0	99.0
145.0	73.0
146.0	87.0
147.0	78.0
148.0	75.0
149.0	78.0
150.0	76.0
151.0	79.0
152.0	61.0
153.0	64.0
154.0	56.0
155.0	63.0
156.0	65.0
157.0	63.0
158.0	64.0
159.0	55.0
160.0	43.0
161.0	51.0
162.0	52.0
163.0	47.0
164.0	29.0
165.0	37.0
166.0	39.0
167.0	33.0
168.0	41.0
169.0	21.0
170.0	42.0
171.0	47.0
172.0	28.0
173.0	41.0
174.0	41.0
175.0	43.0
176.0	38.0
177.0	46.0
178.0	54.0
179.0	52.0
180.0	59.0
181.0	54.0
182.0	73.0
183.0	52.0
184.0	50.0
185.0	48.0
186.0	44.0
187.0	31.0
188.0	41.0
189.0	35.0
190.0	42.0
191.0	40.0
192.0	46.0
193.0	51.0
194.0	40.0
195.0	49.0
196.0	56.0
197.0	37.0
198.0	33.0
199.0	41.0
200.0	33.0
201.0	24.0
202.0	29.0
203.0	32.0
204.0	30.0
205.0	43.0
206.0	39.0
207.0	39.0
208.0	21.0
209.0	41.0
210.0	37.0
211.0	31.0
212.0	36.0
213.0	30.0
214.0	31.0
215.0	35.0
216.0	39.0
217.0	27.0
218.0	32.0
219.0	42.0
220.0	35.0
221.0	40.0
222.0	60.0
223.0	47.0
224.0	47.0
225.0	44.0
226.0	36.0
227.0	51.0
228.0	31.0
229.0	47.0
230.0	36.0
231.0	40.0
232.0	31.0
233.0	32.0
234.0	17.0
235.0	31.0
236.0	33.0
237.0	40.0
238.0	33.0
239.0	20.0
240.0	28.0
241.0	16.0
242.0	21.0
243.0	13.0
244.0	17.0
245.0	23.0
246.0	25.0
247.0	14.0
248.0	14.0
249.0	8.0
250.0	20.0
251.0	25.0
252.0	28.0
253.0	25.0
254.0	19.0
255.0	13.0
256.0	13.0
257.0	16.0
258.0	25.0
259.0	11.0
260.0	15.0
261.0	8.0
262.0	8.0
263.0	9.0
264.0	14.0
265.0	10.0
266.0	18.0
267.0	11.0
268.0	12.0
269.0	12.0
270.0	13.0
271.0	10.0
272.0	6.0
273.0	7.0
274.0	9.0
275.0	3.0
276.0	4.0
277.0	6.0
278.0	4.0
279.0	7.0
280.0	7.0
281.0	8.0
282.0	9.0
283.0	6.0
284.0	9.0
285.0	7.0
286.0	7.0
287.0	8.0
288.0	7.0
289.0	9.0
290.0	5.0
291.0	1.0
292.0	4.0
293.0	4.0
294.0	6.0
295.0	9.0
296.0	6.0
298.0	3.0
299.0	2.0
300.0	2.0
301.0	4.0
302.0	2.0
303.0	3.0
304.0	2.0
305.0	3.0
306.0	1.0
307.0	1.0
309.0	2.0
311.0	1.0
312.0	2.0
313.0	3.0
314.0	2.0
315.0	1.0
316.0	6.0
317.0	1.0
318.0	2.0
320.0	3.0
321.0	4.0
323.0	3.0
324.0	2.0
325.0	2.0
329.0	1.0
331.0	2.0
332.0	3.0
334.0	2.0
335.0	1.0
336.0	2.0
337.0	1.0
339.0	1.0
340.0	2.0
342.0	1.0
343.0	1.0
347.0	2.0
348.0	1.0
353.0	1.0
357.0	1.0
358.0	1.0
359.0	1.0
363.0	1.0
364.0	1.0
370.0	1.0
371.0	1.0
376.0	1.0
377.0	2.0
379.0	2.0
382.0	1.0
383.0	1.0
386.0	2.0
388.0	1.0
389.0	1.0
392.0	1.0
395.0	1.0
397.0	1.0
398.0	1.0
399.0	1.0
402.0	1.0
410.0	1.0
411.0	1.0
415.0	1.0
417.0	1.0
418.0	2.0
420.0	1.0
425.0	1.0
429.0	1.0
432.0	1.0
436.0	1.0
442.0	1.0
445.0	1.0
451.0	1.0
456.0	1.0
463.0	1.0
464.0	1.0
465.0	1.0
466.0	1.0
470.0	1.0
472.0	1.0
476.0	1.0
483.0	1.0
485.0	1.0
486.0	1.0
494.0	1.0
495.0	1.0
499.0	1.0
506.0	1.0
508.0	1.0
517.0	1.0
520.0	1.0
524.0	1.0
527.0	1.0
530.0	1.0
532.0	1.0
541.0	1.0
549.0	3.0
556.0	1.0
560.0	1.0
570.0	1.0
572.0	1.0
574.0	1.0
575.0	1.0
583.0	1.0
589.0	1.0
596.0	1.0
597.0	1.0
603.0	1.0
607.0	1.0
611.0	1.0
614.0	1.0
616.0	1.0
628.0	1.0
629.0	1.0
638.0	1.0
642.0	1.0
646.0	1.0
651.0	1.0
654.0	1.0
658.0	1.0
673.0	1.0
675.0	1.0
678.0	2.0
691.0	1.0
695.0	1.0
697.0	1.0
700.0	1.0
710.0	1.0
717.0	2.0
719.0	1.0
722.0	1.0
737.0	1.0
739.0	1.0
741.0	2.0
753.0	2.0
757.0	1.0
770.0	1.0
780.0	1.0
783.0	2.0
791.0	1.0
796.0	1.0
801.0	1.0
802.0	1.0
807.0	1.0
812.0	1.0
813.0	1.0
821.0	1.0
827.0	1.0
829.0	1.0
839.0	2.0
848.0	1.0
857.0	2.0
862.0	1.0
868.0	1.0
883.0	1.0
884.0	1.0
885.0	1.0
901.0	1.0
904.0	1.0
913.0	1.0
916.0	1.0
922.0	1.0
930.0	1.0
935.0	1.0
939.0	1.0
944.0	1.0
958.0	1.0
959.0	1.0
961.0	1.0
979.0	3.0
988.0	1.0
992.0	1.0
1004.0	1.0
1013.0	1.0
1015.0	1.0
1019.0	1.0
1028.0	1.0
1030.0	1.0
1033.0	1.0
1035.0	1.0
1055.0	1.0
1057.0	1.0
1059.0	1.0
1061.0	1.0
1079.0	1.0
1082.0	1.0
1086.0	1.0
1100.0	1.0
1103.0	1.0
1105.0	1.0
1110.0	1.0
1117.0	1.0
1126.0	1.0
1129.0	1.0
1134.0	1.0
1148.0	1.0
1153.0	1.0
1154.0	1.0
1158.0	1.0
1164.0	1.0
1173.0	3.0
1175.0	1.0
1186.0	1.0
1187.0	1.0
