#Mapping quality	mapping quality
0.0	9354.0
1.0	909.0
2.0	776.0
3.0	639.0
4.0	596.0
5.0	688.0
6.0	620.0
7.0	741.0
8.0	535.0
9.0	637.0
10.0	636.0
11.0	721.0
12.0	737.0
13.0	840.0
14.0	752.0
15.0	732.0
16.0	923.0
17.0	879.0
18.0	1013.0
19.0	999.0
20.0	1117.0
21.0	1095.0
22.0	1169.0
23.0	1191.0
24.0	1262.0
25.0	1417.0
26.0	1410.0
27.0	1408.0
28.0	1566.0
29.0	1549.0
30.0	1506.0
31.0	1552.0
32.0	1544.0
33.0	1639.0
34.0	1423.0
35.0	1497.0
36.0	1798.0
37.0	2192.0
38.0	2071.0
39.0	1776.0
40.0	2132.0
41.0	2422.0
42.0	2354.0
43.0	2428.0
44.0	2526.0
45.0	2519.0
46.0	2568.0
47.0	2670.0
48.0	2913.0
49.0	2862.0
50.0	3496.0
51.0	4060.0
52.0	4899.0
53.0	5109.0
54.0	5824.0
55.0	7465.0
56.0	10356.0
57.0	15256.0
58.0	42323.0
59.0	314588.0
60.0	1183808.0
