Module	Section	Sample Name	Source
bcbio	all_sections	syn3-normal	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal/coverage/syn3-normal_bcbio_coverage_avg.txt
bcbio	all_sections	syn3-tumor	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-tumor/coverage/syn3-tumor_bcbio_coverage_avg.txt
Samtools	stats	syn3-normal	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal/samtools/syn3-normal.txt
Samtools	stats	syn3-tumor	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-tumor/samtools/syn3-tumor.txt
FastQC	all_sections	syn3-normal	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal/fastqc/fastqc_data.txt
FastQC	all_sections	syn3-tumor	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-tumor/fastqc/fastqc_data.txt
SnpEff	all_sections	syn3-normal-germline	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal-germline/variants/syn3-normal-germline.txt
SnpEff	all_sections	syn3-tumor	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-tumor/variants/syn3-tumor.txt
QualiMap	mapped_gc_distribution	syn3-normal	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal/qualimap/syn3-normal/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	syn3-normal-germline	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal-germline/qualimap/syn3-normal-germline/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	syn3-tumor	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-tumor/qualimap/syn3-tumor/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	insert_size_histogram	syn3-normal	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal/qualimap/syn3-normal/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	syn3-normal-germline	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal-germline/qualimap/syn3-normal-germline/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	syn3-tumor	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-tumor/qualimap/syn3-tumor/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	genome_results	syn3-normal	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal/qualimap/genome_results.txt
QualiMap	genome_results	syn3-normal-germline	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal-germline/qualimap/genome_results.txt
QualiMap	genome_results	syn3-tumor	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-tumor/qualimap/genome_results.txt
QualiMap	coverage_histogram	syn3-normal	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal/qualimap/syn3-normal/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	syn3-normal-germline	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal-germline/qualimap/syn3-normal-germline/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	syn3-tumor	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-tumor/qualimap/syn3-tumor/raw_data_qualimapReport/coverage_histogram.txt
Bcftools	stats	syn3-normal-germline	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-normal-germline/variants/syn3-normal-germline_bcftools_stats.txt
Bcftools	stats	syn3-tumor	/Sid/vsaveliev/dream_chr21_paired_with_germline/work/qc/syn3-tumor/variants/syn3-tumor_bcftools_stats.txt
