Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	27.9395740995	27.0	26.0	32.0	26.0	33.0	syn3-tumor
2	30.2127930779	32.0	30.0	33.0	27.0	33.0	syn3-tumor
3	30.5883778667	32.0	31.0	33.0	27.0	34.0	syn3-tumor
4	29.8972813513	32.0	30.0	33.0	24.0	34.0	syn3-tumor
5	30.4765264313	32.0	30.0	33.0	26.0	35.0	syn3-tumor
6	30.5319433955	32.0	30.0	33.0	26.0	35.0	syn3-tumor
7	30.3769414647	33.0	30.0	33.0	25.0	35.0	syn3-tumor
8	30.3350716099	33.0	30.0	34.0	25.0	35.0	syn3-tumor
9	30.5626727882	33.0	31.0	34.0	26.0	35.0	syn3-tumor
10	30.7225734467	33.0	31.0	34.0	26.0	35.0	syn3-tumor
12	30.5684719797	33.0	31.0	34.0	25.0	35.0	syn3-tumor
14	30.8568454893	33.0	31.0	34.0	26.0	35.0	syn3-tumor
16	30.6761060155	33.0	31.5	34.0	25.0	35.0	syn3-tumor
18	30.8830336914	33.0	32.0	34.0	26.0	35.0	syn3-tumor
20	30.9211397957	33.0	32.0	34.0	26.0	35.0	syn3-tumor
22	30.9064149925	33.0	32.0	34.0	26.0	35.0	syn3-tumor
24	30.7930595092	33.0	31.5	34.0	25.0	35.0	syn3-tumor
26	30.8229666094	33.0	32.0	34.0	24.5	35.0	syn3-tumor
28	30.5899199322	33.0	32.0	34.0	23.5	35.0	syn3-tumor
30	30.6150035539	33.0	31.5	34.5	23.5	35.0	syn3-tumor
32	30.370751084	33.0	31.5	35.0	22.0	35.0	syn3-tumor
34	30.2532496015	33.0	31.0	34.5	22.0	35.0	syn3-tumor
36	30.3963161951	33.0	31.5	34.5	22.5	35.0	syn3-tumor
38	30.214892327	33.0	31.0	35.0	21.0	35.0	syn3-tumor
40	30.3832100233	33.0	31.0	35.0	22.0	35.0	syn3-tumor
42	30.2398284127	33.0	31.0	35.0	21.0	35.0	syn3-tumor
44	30.1876513734	33.0	31.0	35.0	20.5	35.0	syn3-tumor
46	30.1609300239	33.0	31.0	35.0	20.0	35.0	syn3-tumor
48	30.0056770566	33.0	31.0	35.0	18.5	35.0	syn3-tumor
50	29.5310147281	33.0	31.0	35.0	11.0	35.0	syn3-tumor
52	29.7937804614	33.0	31.0	35.0	15.5	35.0	syn3-tumor
54	29.912708999	33.0	31.0	35.0	14.5	35.0	syn3-tumor
56	29.7832364637	33.0	31.0	35.0	11.5	35.0	syn3-tumor
58	29.4483910249	33.0	30.5	35.0	9.5	35.0	syn3-tumor
60	29.6600012545	33.0	31.5	35.0	7.0	35.0	syn3-tumor
62	29.5128916411	33.0	31.0	35.0	2.0	35.0	syn3-tumor
64	29.5707126045	33.0	31.5	35.0	2.0	35.0	syn3-tumor
66	29.3940085401	33.0	31.0	35.0	2.0	35.0	syn3-tumor
68	29.2113429126	33.0	31.0	35.0	2.0	35.0	syn3-tumor
70	28.8247533854	33.0	30.5	35.0	2.0	35.5	syn3-tumor
72	29.0277502394	33.0	30.5	35.0	2.0	36.0	syn3-tumor
74	28.985678427	33.0	30.5	35.0	2.0	36.0	syn3-tumor
76	28.6150700713	33.0	30.0	35.0	2.0	35.0	syn3-tumor
78	28.9203021736	33.0	31.0	35.0	2.0	36.0	syn3-tumor
80	28.699066862	33.0	30.5	35.0	2.0	36.0	syn3-tumor
