cutoff_reads	region_pct	bases_pct	sample
percentage10	75	100.0	syn3-normal
percentage1000	10	0.0	syn3-normal
percentage250	99.9	45.987	syn3-normal
percentage10	50	100.0	syn3-normal
percentage1	10	100.0	syn3-normal
percentage1000	99.9	26.4642	syn3-normal
percentage5	25	100.0	syn3-normal
percentage10000	0.01	0.0	syn3-normal
percentage50000	75	0.0	syn3-normal
percentage500	50	0.0	syn3-normal
percentage1	25	100.0	syn3-normal
percentage5000	25	0.0	syn3-normal
percentage10000	75	0.0	syn3-normal
percentage50000	99.9	0.0	syn3-normal
percentage500	75	0.0	syn3-normal
percentage20	0.01	0.0	syn3-normal
percentage20	75	100.0	syn3-normal
percentage50000	25	0.0	syn3-normal
percentage5000	0.01	0.0	syn3-normal
percentage10	0.01	4.824419285	syn3-normal
percentage10000	50	0.0	syn3-normal
percentage250	75	0.0	syn3-normal
percentage500	90	0.0	syn3-normal
percentage10	99.9	100.0	syn3-normal
percentage10000	90	0.0	syn3-normal
percentage50	99.9	100.0	syn3-normal
percentage5	0.01	21.74777111	syn3-normal
percentage100	50	0.0	syn3-normal
percentage50000	90	0.0	syn3-normal
percentage5000	99.9	0.0	syn3-normal
percentage20	10	61.99585	syn3-normal
percentage1	50	100.0	syn3-normal
percentage1000	0.01	0.0	syn3-normal
percentage250	90	0.0	syn3-normal
percentage50	25	2.8564475	syn3-normal
percentage20	25	93.741575	syn3-normal
percentage10	25	100.0	syn3-normal
percentage50000	0.01	0.0	syn3-normal
percentage50	10	0.0	syn3-normal
percentage10000	99.9	0.0	syn3-normal
percentage50000	50	0.0	syn3-normal
percentage100	0.01	0.0	syn3-normal
percentage500	10	0.0	syn3-normal
percentage5	75	100.0	syn3-normal
percentage250	10	0.0	syn3-normal
percentage50	50	37.3674	syn3-normal
percentage1	0.01	71.53815361	syn3-normal
percentage100	99.9	100.0	syn3-normal
percentage20	90	100.0	syn3-normal
percentage5000	50	0.0	syn3-normal
percentage50	90	97.10099	syn3-normal
percentage1	99.9	100.0	syn3-normal
percentage10	90	100.0	syn3-normal
percentage5	99.9	100.0	syn3-normal
percentage5000	90	0.0	syn3-normal
percentage1000	25	0.0	syn3-normal
percentage500	99.9	36.9848	syn3-normal
percentage5000	75	0.0	syn3-normal
percentage250	25	0.0	syn3-normal
percentage500	0.01	0.0	syn3-normal
percentage50	75	79.316575	syn3-normal
percentage10	10	92.03641	syn3-normal
percentage50000	10	0.0	syn3-normal
percentage5	10	100.0	syn3-normal
percentage1	75	100.0	syn3-normal
percentage500	25	0.0	syn3-normal
percentage250	50	0.0	syn3-normal
percentage5	50	100.0	syn3-normal
percentage1000	50	0.0	syn3-normal
percentage1000	75	0.0	syn3-normal
percentage100	75	0.0	syn3-normal
percentage10000	10	0.0	syn3-normal
percentage100	90	0.0	syn3-normal
percentage5	90	100.0	syn3-normal
percentage1000	90	0.0	syn3-normal
percentage10000	25	0.0	syn3-normal
percentage1	90	100.0	syn3-normal
percentage5000	10	0.0	syn3-normal
percentage100	25	0.0	syn3-normal
percentage20	99.9	100.0	syn3-normal
percentage100	10	0.0	syn3-normal
percentage250	0.01	0.0	syn3-normal
percentage50	0.01	0.0	syn3-normal
percentage20	50	100.0	syn3-normal
