#Insert size (bp)	insert size
1.0	10.0
3.0	2.0
4.0	2.0
5.0	1.0
7.0	3.0
8.0	4.0
14.0	1.0
15.0	1.0
16.0	1.0
17.0	1.0
18.0	3.0
19.0	3.0
20.0	2.0
21.0	1.0
24.0	1.0
25.0	2.0
29.0	3.0
31.0	1.0
32.0	4.0
33.0	2.0
35.0	1.0
36.0	1.0
37.0	2.0
38.0	4.0
39.0	3.0
40.0	1.0
41.0	3.0
42.0	4.0
43.0	3.0
45.0	1.0
47.0	2.0
48.0	1.0
49.0	1.0
50.0	4.0
51.0	2.0
53.0	2.0
54.0	2.0
55.0	1.0
57.0	8.0
58.0	2.0
59.0	2.0
60.0	6.0
61.0	3.0
62.0	7.0
63.0	2.0
65.0	4.0
66.0	6.0
67.0	7.0
68.0	6.0
69.0	4.0
70.0	7.0
71.0	9.0
72.0	9.0
73.0	12.0
74.0	13.0
75.0	22.0
76.0	23.0
77.0	23.0
78.0	27.0
79.0	33.0
80.0	39.0
81.0	37.0
82.0	61.0
83.0	51.0
84.0	56.0
85.0	52.0
86.0	65.0
87.0	79.0
88.0	78.0
89.0	83.0
90.0	91.0
91.0	97.0
92.0	107.0
93.0	97.0
94.0	101.0
95.0	113.0
96.0	111.0
97.0	114.0
98.0	127.0
99.0	142.0
100.0	124.0
101.0	141.0
102.0	154.0
103.0	158.0
104.0	144.0
105.0	154.0
106.0	164.0
107.0	181.0
108.0	138.0
109.0	147.0
110.0	176.0
111.0	169.0
112.0	162.0
113.0	159.0
114.0	177.0
115.0	170.0
116.0	195.0
117.0	151.0
118.0	180.0
119.0	155.0
120.0	166.0
121.0	194.0
122.0	177.0
123.0	196.0
124.0	208.0
125.0	187.0
126.0	191.0
127.0	173.0
128.0	160.0
129.0	189.0
130.0	197.0
131.0	225.0
132.0	189.0
133.0	225.0
134.0	191.0
135.0	215.0
136.0	215.0
137.0	211.0
138.0	209.0
139.0	206.0
140.0	205.0
141.0	243.0
142.0	196.0
143.0	231.0
144.0	183.0
145.0	187.0
146.0	244.0
147.0	207.0
148.0	229.0
149.0	189.0
150.0	209.0
151.0	206.0
152.0	224.0
153.0	212.0
154.0	218.0
155.0	225.0
156.0	210.0
157.0	230.0
158.0	246.0
159.0	217.0
160.0	211.0
161.0	218.0
162.0	220.0
163.0	212.0
164.0	240.0
165.0	231.0
166.0	237.0
167.0	220.0
168.0	226.0
169.0	228.0
170.0	208.0
171.0	242.0
172.0	231.0
173.0	229.0
174.0	233.0
175.0	250.0
176.0	208.0
177.0	220.0
178.0	204.0
179.0	206.0
180.0	221.0
181.0	222.0
182.0	218.0
183.0	242.0
184.0	231.0
185.0	213.0
186.0	255.0
187.0	212.0
188.0	221.0
189.0	204.0
190.0	220.0
191.0	231.0
192.0	228.0
193.0	229.0
194.0	206.0
195.0	228.0
196.0	222.0
197.0	229.0
198.0	243.0
199.0	253.0
200.0	256.0
201.0	214.0
202.0	212.0
203.0	239.0
204.0	238.0
205.0	221.0
206.0	209.0
207.0	236.0
208.0	228.0
209.0	229.0
210.0	238.0
211.0	238.0
212.0	236.0
213.0	228.0
214.0	200.0
