Quality	Count	sample
2	28570.0	syn3-normal
3	7125.0	syn3-normal
4	5056.0	syn3-normal
5	4926.0	syn3-normal
6	5292.0	syn3-normal
7	5612.0	syn3-normal
8	6194.0	syn3-normal
9	6599.0	syn3-normal
10	7107.0	syn3-normal
11	7227.0	syn3-normal
12	7008.0	syn3-normal
13	7038.0	syn3-normal
14	6628.0	syn3-normal
15	6645.0	syn3-normal
16	6639.0	syn3-normal
17	6965.0	syn3-normal
18	7189.0	syn3-normal
19	7275.0	syn3-normal
20	7798.0	syn3-normal
21	8283.0	syn3-normal
22	9028.0	syn3-normal
23	10041.0	syn3-normal
24	11615.0	syn3-normal
25	13975.0	syn3-normal
26	17346.0	syn3-normal
27	21539.0	syn3-normal
28	27665.0	syn3-normal
29	36588.0	syn3-normal
30	51196.0	syn3-normal
31	80816.0	syn3-normal
32	179406.0	syn3-normal
33	397439.0	syn3-normal
34	162875.0	syn3-normal
35	21.0	syn3-normal
