Length	Count	sample
30	372.0	syn3-tumor
32	267.0	syn3-tumor
34	263.0	syn3-tumor
36	214.0	syn3-tumor
38	253.0	syn3-tumor
40	218.0	syn3-tumor
42	184.0	syn3-tumor
44	169.0	syn3-tumor
46	190.0	syn3-tumor
48	168.0	syn3-tumor
50	147.0	syn3-tumor
52	110.0	syn3-tumor
54	77.0	syn3-tumor
56	42.0	syn3-tumor
58	35.0	syn3-tumor
60	27.0	syn3-tumor
62	29.0	syn3-tumor
64	13.0	syn3-tumor
66	20.0	syn3-tumor
68	12.0	syn3-tumor
70	11.0	syn3-tumor
72	8.0	syn3-tumor
74	1.0	syn3-tumor
76	5.0	syn3-tumor
78	0.0	syn3-tumor
80	0.0	syn3-tumor
82	0.0	syn3-tumor
84	0.0	syn3-tumor
86	0.0	syn3-tumor
88	0.0	syn3-tumor
90	0.0	syn3-tumor
92	0.0	syn3-tumor
94	0.0	syn3-tumor
96	0.0	syn3-tumor
98	0.0	syn3-tumor
100	1167673.0	syn3-tumor
30	356.0	syn3-normal
32	272.0	syn3-normal
34	248.0	syn3-normal
36	254.0	syn3-normal
38	214.0	syn3-normal
40	227.0	syn3-normal
42	186.0	syn3-normal
44	195.0	syn3-normal
46	193.0	syn3-normal
48	157.0	syn3-normal
50	174.0	syn3-normal
52	128.0	syn3-normal
54	71.0	syn3-normal
56	59.0	syn3-normal
58	25.0	syn3-normal
60	21.0	syn3-normal
62	18.0	syn3-normal
64	9.0	syn3-normal
66	16.0	syn3-normal
68	10.0	syn3-normal
70	7.0	syn3-normal
72	9.0	syn3-normal
74	5.0	syn3-normal
76	4.0	syn3-normal
78	0.0	syn3-normal
80	0.0	syn3-normal
82	0.0	syn3-normal
84	0.0	syn3-normal
86	0.0	syn3-normal
88	0.0	syn3-normal
90	0.0	syn3-normal
92	0.0	syn3-normal
94	0.0	syn3-normal
96	0.0	syn3-normal
98	0.0	syn3-normal
100	1171868.0	syn3-normal
