Base	N-Count	sample
1	0.06040112498163191	syn3-tumor
2	0.012302350774193768	syn3-tumor
3	0.01623226838261678	syn3-tumor
4	0.04929483608826253	syn3-tumor
5	0.024433835565412624	syn3-tumor
6	0.021016515905914353	syn3-tumor
7	0.02879091813127292	syn3-tumor
8	0.025459031463262102	syn3-tumor
9	0.022212577786738748	syn3-tumor
10	0.02353678915479433	syn3-tumor
12	0.022554309752688576	syn3-tumor
14	0.02140096436760791	syn3-tumor
16	0.018111794195340827	syn3-tumor
18	0.024134820095206524	syn3-tumor
20	0.018837974622984206	syn3-tumor
22	0.027381273771729882	syn3-tumor
24	0.018197227186828282	syn3-tumor
26	0.01849624265703438	syn3-tumor
28	0.020247618982527242	syn3-tumor
30	0.0149946877794149	syn3-tumor
32	0.8431159136953562	syn3-tumor
34	0.016925825561415957	syn3-tumor
36	0.018554200281904142	syn3-tumor
38	0.010134082029621452	syn3-tumor
40	0.009323498895293686	syn3-tumor
42	0.01800883074351233	syn3-tumor
44	0.022375355791687576	syn3-tumor
46	0.01437711163827187	syn3-tumor
48	0.023366525782778615	syn3-tumor
50	0.2565975971850024	syn3-tumor
52	0.01819299471247363	syn3-tumor
54	0.021362545079679295	syn3-tumor
56	0.013229308441112237	syn3-tumor
58	0.019223820068469337	syn3-tumor
60	0.011046487730691766	syn3-tumor
62	0.018882272243830506	syn3-tumor
64	0.01267404330241038	syn3-tumor
66	0.019311037006969102	syn3-tumor
68	0.0124603121929079	syn3-tumor
70	0.41346448641510536	syn3-tumor
72	0.0214955047846767	syn3-tumor
74	0.01674261505088299	syn3-tumor
76	0.017342139429088205	syn3-tumor
78	0.0169568021184013	syn3-tumor
80	0.014772971542546587	syn3-tumor
82	0.016014757556267894	syn3-tumor
84	0.026334427532365656	syn3-tumor
86	0.030530807854596276	syn3-tumor
88	0.021709845136438026	syn3-tumor
90	0.02076780057430462	syn3-tumor
92	0.0331000202967783	syn3-tumor
94	0.02355111405333514	syn3-tumor
96	0.027319292301868758	syn3-tumor
98	0.0341705254810208	syn3-tumor
100	0.09264464906446902	syn3-tumor
