%GC	50
Average_insert_size	334.1
Avg_coverage	46.6459375644596
Duplicates	57282
Duplicates_pct	4.962122688704375
Mapped_paired_reads	1136902
Mapped_reads	1154385
Mapped_reads_pct	98.50810842176764
Mapped_unique_reads	1084738
Name	syn3-normal
Offtarget_pct	19.31341946165802
Ontarget_padded_pct	95.92657397454501
Ontarget_pct	80.68658053834197
Ontarget_unique_reads	875238
Quality_format	standard
Sequence_length	30-101
Sequences_flagged_as_poor_quality	0
Total_reads	1171868
Usable_pct	74.6874221328682
sample	syn3-normal
rRNA_rate	NA
