#Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	sample
1	93.79818936202817	87.0733514102925	syn3-tumor
2	5.362102251893031	9.955335318359865	syn3-tumor
3	0.667147905637231	1.8579507054016084	syn3-tumor
4	0.11305958283184998	0.4198152161859976	syn3-tumor
5	0.020622752244575132	0.09572104565411954	syn3-tumor
6	0.006393070931216311	0.035608327766510774	syn3-tumor
7	0.0026678012536998433	0.017335737325563424	syn3-tumor
8	0.0022573559358386106	0.0167641228894728	syn3-tumor
9	0.001050066408566385	0.008773039417627929	syn3-tumor
>10	0.02607537524399469	0.496658313155934	syn3-tumor
>50	4.3447559184202095E-4	0.022686763550786544	syn3-tumor
>100	0.0	0.0	syn3-tumor
>500	0.0	0.0	syn3-tumor
>1k	0.0	0.0	syn3-tumor
>5k	0.0	0.0	syn3-tumor
>10k+	0.0	0.0	syn3-tumor
