chromosome	start	end	gene	log2	depth	probes	weight	ci_lo	ci_hi	pi_lo	pi_hi
chr1	10500	121484934	-	0	0	804	535.57	0	0	0	0
chr1	142535934	249240121	-	0	0	698	465.856	0	0	0	0
chr2	10500	92325671	-	0	0	604	403.394	0	0	0	0
chr2	95326671	243188873	-	0	0	983	655.601	0	0	0	0
chr3	60500	90504354	-	0	0	603	401.663	0	0	0	0
chr3	93505354	197961930	-	0	0	696	464.412	0	0	0	0
chr4	10500	49659617	-	0	0	329	219.423	0	0	0	0
chr4	52660617	191043776	-	0	0	922	614.908	0	0	0	0
chr5	10500	46405141	-	0	0	309	206.043	0	0	0	0
chr5	49406141	180904760	-	0	0	876	583.961	0	0	0	0
chr6	60500	58779666	-	0	0	391	260.838	0	0	0	0
chr6	61880666	171054567	-	0	0	726	483.358	0	0	0	0
chr7	10500	58053831	-	0	0	386	257.651	0	0	0	0
chr7	61054831	159128163	-	0	0	650	432.978	0	0	0	0
chr8	10500	43838387	-	0	0	291	194.405	0	0	0	0
chr8	46839387	146303522	-	0	0	662	440.869	0	0	0	0
chr9	10500	47317179	-	0	0	307	205.581	0	0	0	0
chr9	65468179	141152931	-	0	0	491	328.402	0	0	0	0
chr10	60500	39154435	-	0	0	260	173.357	0	0	0	0
chr10	42355435	135524247	-	0	0	616	410.395	0	0	0	0
chr11	60500	51593705	-	0	0	340	227.52	0	0	0	0
chr11	54694705	134946016	-	0	0	533	355.445	0	0	0	0
chr12	60500	34856194	-	0	0	232	154.248	0	0	0	0
chr12	37857194	133841395	-	0	0	639	425.842	0	0	0	0
chr13	19020500	115109378	-	0	0	637	424.969	0	0	0	0
chr14	19000500	107289040	-	0	0	589	392.529	0	0	0	0
chr15	20000500	102520892	-	0	0	544	363.174	0	0	0	0
chr16	60500	35285301	-	0	0	233	155.711	0	0	0	0
chr16	46386301	90294253	-	0	0	292	194.987	0	0	0	0
chr17	500	22262506	-	0	0	147	98.0785	0	0	0	0
chr17	25263506	81194710	-	0	0	373	247.762	0	0	0	0
chr18	10500	15410398	-	0	0	103	68.4677	0	0	0	0
chr18	18511398	78016748	-	0	0	396	263.435	0	0	0	0
chr19	60500	24631282	-	0	0	164	108.561	0	0	0	0
chr19	27732282	59118483	-	0	0	209	139.543	0	0	0	0
chr20	60500	26319069	-	0	0	175	116.745	0	0	0	0
chr20	29420069	62965020	-	0	0	222	147.789	0	0	0	0
chr21	9411693	10897675	-	13.9846	16.4363	58	5.76298	10.0397	15.5852	-2.04824	18.8702
chr21	10898175	11187629	-	5.61637	61.7151	94	2.65151	1.31541	9.91285	-1.16002	17.7207
chr21	14338629	15516160	-	8.2694	12.556	183	7.86203	5.0091	10.4265	-3.38956	17.5255
chr21	15516660	15992272	-	2.85964	19.3751	159	4.33008	0.0630339	6.12668	-1.92291	14.9896
chr21	15992772	16341036	-	9.79762	11.0093	37	2.18187	1.0985	12.7067	-1.10725	15.0623
chr21	16341536	17114840	-	13.0329	2.58037	23	3.66768	9.58006	13.8401	-2.09809	14.6387
chr21	17115340	17252270	-	1.38186	22.6539	73	1.64861	-0.417666	3.75402	-2.04922	14.8096
chr21	17252770	19616620	-	11.9477	5.09301	114	12.0298	10.225	12.7922	-2.10768	15.7078
chr21	19617120	19776176	-	1.25713	22.8768	77	1.77253	-0.388514	3.23713	-1.81798	13.2776
chr21	19776676	22642699	-	13.9039	0.385138	25	12.8505	13.6001	14.1241	-0.908611	14.762
