
Sample	Gene	Chr	Start	End	Length	Log2ratio	Sig	BP_Whole	Amp_Del	Ab_Seg	Total_Seg	Ab_log2ratio	Log2r_Diff	Ab_Seg_Loc	Ab_Samples	Ab_Samples_Pcnt
syn3-normal	NDUFV3	chr21	44313161	44329282	12135	0.000					5					
syn3-normal	C21orf33	chr21	45553333	45565761	17532	0					8					
syn3-normal	SMIM11B	chr21	35751503	35758212	3819	0					2					
syn3-normal	TIAM1	chr21	32490596	32906652	61974	0					28					
syn3-normal	DSCAM	chr21	41384532	42219129	84183	0					40					
syn3-normal	PAXBP1-AS1	chr21	34113509	34114093	1755	0.000					1					
syn3-normal	APP	chr21	27252968	27543412	41400	0					20					
syn3-normal	KRTAP13-2	chr21	31743710	31744713	3012	0.000					1					
syn3-normal	KRTAP13-1	chr21	31768122	31769326	3615	0.000					1					
syn3-normal	DYRK1A	chr21	38792370	38887801	33777	0					12					
syn3-normal	KRTAP8-1	chr21	32185051	32185798	2244	0.000					1					
syn3-normal	MRAP	chr21	33671034	33684566	7731	0					4					
syn3-normal	TFF3	chr21	43731949	43735844	6078	0.000					3					
syn3-normal	RUNX1	chr21	36160368	36421459	36543	0					16					
syn3-normal	PDE9A	chr21	44073652	44195702	38295	0					20					
syn3-normal	GRIK1-AS1	chr21	31130882	31131578	2091	0.000					1					
syn3-normal	SSR4P1	chr21	46491731	46492472	2226	0.000					1					
syn3-normal	DSCR9	chr21	38592324	38594071	4590	0					2					
syn3-normal	KRTAP12-1	chr21	46101441	46102304	2592	0.000					1					
syn3-normal	N6AMT1	chr21	30248457	30257953	9513	0.000					5					
syn3-normal	AIRE	chr21	45705629	45717861	25395	0.000					9					
syn3-normal	CHAF1B	chr21	37758146	37788908	23952	0.000					13					
syn3-normal	KRTAP19-8	chr21	32410336	32411032	2091	0.000					1					
syn3-normal	TSPEAR	chr21	45919072	46131681	32970	0.000					15					
syn3-normal	KRTAP22-1	chr21	31973232	31973893	1986	0.000					1					
syn3-normal	MRPS6	chr21	35445573	35515131	8631	0					4					
syn3-normal	PFKL	chr21	45719770	45747018	40278	0					16					
syn3-normal	ZNF295-AS1	chr21	43429326	43445046	4437	0					2					
syn3-normal	MIR125B2	chr21	17962287	17962896	1830	0.000					1					
syn3-normal	LINC00158	chr21	26801948	26803886	3933	0					2					
syn3-normal	DONSON	chr21	34950315	34961426	19512	0					8					
syn3-normal	KRTAP6-3	chr21	31964489	31965610	3366	0.000					1					
syn3-normal	COL18A1-AS1	chr21	46840941	46842756	4614	0					2					
syn3-normal	AATBC	chr21	45231157	45232562	4218	0.000					1					
syn3-normal	SOD1	chr21	33031822	33041283	9579	0.000					5					
syn3-normal	SAMSN1-AS1	chr21	15955663	15956384	2166	0.000					1					
syn3-normal	MIR3197	chr21	42539243	42539788	1638	0.000					1					
syn3-normal	B3GALT5	chr21	41032251	41034934	8052	0.000					1					
syn3-normal	UMODL1-AS1	chr21	43528140	43528738	1797	0.000					1					
syn3-normal	PRDM15	chr21	43221035	43299703	58125	0.000					25					
syn3-normal	KRTAP12-3	chr21	46077621	46078443	2469	0.000					1					
syn3-normal	UMODL1	chr21	43491152	43557970	53373	0					22					
syn3-normal	CLDN14	chr21	37833026	37834288	3789	0.000					1					
syn3-normal	MIRLET7C	chr21	17911928	17912491	1692	0.000					1					
syn3-normal	BAGE3	chr21	11020524	11099021	19944	0.000					9					
syn3-normal	CSTB	chr21	45193796	45196413	4950	0					2					
syn3-normal	TRPM2	chr21	45773348	45861970	67098	0.000					29					
syn3-normal	PLAC4	chr21	42550884	42557285	19206	0.000					1					
syn3-normal	CXADR	chr21	18885190	18938267	20511	0.000					11					
syn3-normal	MIR5009	chr21	28833302	28833944	1929	0.000					1					
syn3-normal	IL10RB	chr21	34638030	34668895	16824	0					8					
syn3-normal	FTCD	chr21	47556076	47575697	22707	0					8					
syn3-normal	TMPRSS2	chr21	42836855	42880161	28992	0					14					
syn3-normal	CHODL	chr21	19617122	19639337	12510	0					6					
syn3-normal	BAGE5	chr21	11020524	11099021	15621	0.000					7					
syn3-normal	OLIG2	chr21	34398962	34401692	8193	0.000					1					
syn3-normal	KCNE1	chr21	35821279	35822188	2730	0.000					1					
