Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	27.928433524072847	27.0	26.0	32.0	26.0	33.0	syn3-normal
2	30.20830985268054	32.0	30.0	33.0	27.0	33.0	syn3-normal
3	30.58199358829208	32.0	31.0	33.0	27.0	34.0	syn3-normal
4	29.884080202532335	32.0	30.0	33.0	24.0	34.0	syn3-normal
5	30.468585865980664	32.0	30.0	33.0	26.0	35.0	syn3-normal
6	30.530639485292742	32.0	30.0	33.0	26.0	35.0	syn3-normal
7	30.372391519384095	33.0	30.0	33.0	25.0	35.0	syn3-normal
8	30.325841941014332	33.0	30.0	34.0	25.0	35.0	syn3-normal
9	30.5526352528164	33.0	31.0	34.0	25.0	35.0	syn3-normal
10	30.711594022776374	33.0	31.0	34.0	26.0	35.0	syn3-normal
12	30.560854190679358	33.0	31.0	34.0	25.0	35.0	syn3-normal
14	30.85084819779251	33.0	31.0	34.0	26.0	35.0	syn3-normal
16	30.66689040678422	33.0	31.5	34.0	25.0	35.0	syn3-normal
18	30.87309168265621	33.0	32.0	34.0	26.0	35.0	syn3-normal
20	30.911405297916282	33.0	32.0	34.0	26.0	35.0	syn3-normal
22	30.899610632607093	33.0	32.0	34.0	26.0	35.0	syn3-normal
24	30.78341374924876	33.0	31.5	34.0	25.0	35.0	syn3-normal
26	30.814463968619066	33.0	32.0	34.0	24.5	35.0	syn3-normal
28	30.583219406057243	33.0	32.0	34.0	23.5	35.0	syn3-normal
30	30.616458037113517	33.0	31.5	34.5	23.5	35.0	syn3-normal
32	30.362389700810702	33.0	31.5	35.0	21.5	35.0	syn3-normal
34	30.244717672746987	33.0	31.0	34.5	21.5	35.0	syn3-normal
36	30.38431362991038	33.0	31.5	34.5	22.5	35.0	syn3-normal
38	30.20950826159224	33.0	31.0	35.0	21.0	35.0	syn3-normal
40	30.382346228218957	33.0	31.0	35.0	22.0	35.0	syn3-normal
42	30.248071463435124	33.0	31.0	35.0	21.0	35.0	syn3-normal
44	30.190372803443694	33.0	31.0	35.0	20.5	35.0	syn3-normal
46	30.15723721685569	33.0	31.0	35.0	20.0	35.0	syn3-normal
48	30.00738757690111	33.0	31.0	35.0	18.5	35.0	syn3-normal
50	29.533596409186302	33.0	31.0	35.0	11.0	35.0	syn3-normal
52	29.797141595295635	33.0	31.0	35.0	15.5	35.0	syn3-normal
54	29.91132957382809	33.0	31.0	35.0	14.5	35.0	syn3-normal
56	29.777977541866772	33.0	31.0	35.0	11.5	35.0	syn3-normal
58	29.441068385825737	33.0	30.5	35.0	9.5	35.0	syn3-normal
60	29.654625011917172	33.0	31.0	35.0	7.0	35.0	syn3-normal
62	29.50809891691067	33.0	31.0	35.0	2.0	35.0	syn3-normal
64	29.566193607772234	33.0	31.5	35.0	2.0	35.0	syn3-normal
66	29.391567914041396	33.0	31.0	35.0	2.0	35.0	syn3-normal
68	29.20304501044218	33.0	31.0	35.0	2.0	35.0	syn3-normal
70	28.807080204708477	33.0	30.5	35.0	2.0	35.0	syn3-normal
72	29.00898774565733	33.0	30.5	35.0	2.0	36.0	syn3-normal
74	28.972356675585544	33.0	30.5	35.0	2.0	36.0	syn3-normal
76	28.600509805551376	33.0	30.0	35.0	2.0	35.0	syn3-normal
78	28.902624698344866	33.0	31.0	35.0	2.0	36.0	syn3-normal
80	28.690739059347983	33.0	30.5	35.0	2.0	36.0	syn3-normal
82	28.553185597695304	33.0	30.0	35.0	2.0	36.0	syn3-normal
84	28.451611870961578	33.0	30.5	35.0	2.0	36.0	syn3-normal
86	28.12614560684309	33.0	29.5	35.0	2.0	36.0	syn3-normal
88	27.8915603122536	33.0	29.5	35.0	2.0	36.0	syn3-normal
90	27.688191844132618	33.0	29.0	35.0	2.0	36.0	syn3-normal
92	27.275743513774586	33.0	28.5	35.0	2.0	36.0	syn3-normal
94	26.89430592865408	33.0	28.0	35.0	2.0	35.5	syn3-normal
96	26.305897933896993	32.0	27.0	34.5	2.0	35.0	syn3-normal
98	25.36539439595586	32.0	24.0	34.0	2.0	35.0	syn3-normal
100	24.120781521468288	31.5	11.0	33.5	2.0	35.0	syn3-normal
